,udf_type_id,table_name,udf_type_name,udf_type_label,logical_data_type,super_flag,indicator_expression,summary_indicator_expression
0,75,TASK,user_text1,user_text1,FT_TEXT,N,,
1,196,TASK,user_field_196,MSP Activity ID,FT_TEXT,N,,
2,197,TASK,user_field_197,EAM Contact Person,FT_TEXT,N,,
3,199,TASK,user_field_199,DIFF,FT_INT,N,,
