,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
830,125084,6359,540,34530,N,N,WS_Open,65 ,HARD LANDSCAPING,,125075,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,XsEUqYhUR6SSTcq8rRcwoQ,,
831,125085,6359,540,34420,N,N,WS_Open,10 ,DRAINAGE LINES,,125075,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,MYG1uRJeQyuaBjrtMJi0Jg,,
832,125086,6359,540,34520,N,N,WS_Open,60 ,PARKING SHED,,125075,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,2sLCaasJSfWXTljS4LFSeQ,,
833,125087,6359,540,34480,N,N,WS_Open,40 ,IRRIGATION LINES,,125075,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,HXdY/jesQWS/pwUVLZe2iA,,
834,125088,6359,540,34440,N,N,WS_Open,20 ,WATER SUPPLY SYSTEM,,125075,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,xo3FsOHOTsyPzfaLdrJ5DA,,
835,125089,6359,540,34550,N,N,WS_Open,35 ,SECONDARY BUILDINGS,,125028,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,S6v/tRdjRDiubw9EaFfXrA,,
836,125090,6359,540,34560,N,N,WS_Open,10 ,INFRASTRUCTURE WORKS,,125089,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,q27+OxGuTUyqXyExaeJy6A,,
837,125091,6359,540,34570,N,N,WS_Open,10 ,IRRIGATION WATER TANK & PUMP ROOM,,125090,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,/x/MrgstQ5Cs82ktJl6ZZw,,
838,125092,6359,540,34590,N,N,WS_Open,20 ,GUARD HOUSE,,125090,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,Awq5VvW1Rni5GqBUiS+CqQ,,
839,125093,6359,540,34580,N,N,WS_Open,15 ,TELECOMMUNICATION ROOM,,125090,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,rE6vHx2zThC0WrRJH12ZyQ,,
