,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
5153,311954,2260,,689,6359,503788,P1A-Air-conditioning and Ventilation works,,,0.00,3168.00,3168.00,3168.00,CL_Uniform,N,1,,,
5154,311955,2261,,689,6359,503789,P1A-Electrical Installations,,,0.00,40656.00,40656.00,40656.00,CL_Uniform,N,1,,,
5155,311956,2264,,689,6359,503790,P1A-External works within the Plot Curtilage,,,0.00,41328.00,41328.00,41328.00,CL_Uniform,N,1,,,
5156,311957,2264,,689,6359,503791,P1A-External works within the Plot Curtilage,,,0.00,48672.00,48672.00,48672.00,CL_Uniform,N,1,,,
5157,311958,2264,,689,6359,503792,P1A-External works within the Plot Curtilage,,,0.00,896.00,896.00,896.00,CL_Uniform,N,1,,,
5158,311959,2264,,689,6359,503793,P1A-External works within the Plot Curtilage,,,0.00,15216.00,15216.00,15216.00,CL_Uniform,N,1,,,
5159,311960,2264,,689,6359,503794,P1A-External works within the Plot Curtilage,,,0.00,13582.00,13582.00,13582.00,CL_Uniform,N,1,,,
5160,311961,2264,,689,6359,503795,P1A-External works within the Plot Curtilage,,,0.00,12744.00,12744.00,12744.00,CL_Uniform,N,1,,,
5161,311962,2264,,689,6359,503796,P1A-External works within the Plot Curtilage,,,0.00,71872.00,71872.00,71872.00,CL_Uniform,N,1,,,
5162,311963,2264,,689,6359,503797,P1A-External works within the Plot Curtilage,,,0.00,45463.00,45463.00,45463.00,CL_Uniform,N,1,,,
5163,311964,2259,,689,6359,503798,P1A-Plumbing and Drainage works,,,0.00,122349.00,122349.00,122349.00,CL_Uniform,N,1,,,
5164,311965,2264,,689,6359,503799,P1A-External works within the Plot Curtilage,,,0.00,31768.00,31768.00,31768.00,CL_Uniform,N,1,,,
5165,311966,2264,,689,6359,503800,P1A-External works within the Plot Curtilage,,,0.00,81420.00,81420.00,81420.00,CL_Uniform,N,1,,,
5166,311967,2259,,689,6359,503801,P1A-Plumbing and Drainage works,,,0.00,22696.00,22696.00,22696.00,CL_Uniform,N,1,,,
5167,311968,2264,,689,6359,503802,P1A-External works within the Plot Curtilage,,,0.00,56173.00,56173.00,56173.00,CL_Uniform,N,1,,,
5168,311969,2264,,689,6359,503803,P1A-External works within the Plot Curtilage,,,0.00,33032.00,33032.00,33032.00,CL_Uniform,N,1,,,
5169,311970,2264,,689,6359,503804,P1A-External works within the Plot Curtilage,,,0.00,3557.00,3557.00,3557.00,CL_Uniform,N,1,,,
5170,311971,2264,,689,6359,503805,P1A-External works within the Plot Curtilage,,,0.00,59528.00,59528.00,59528.00,CL_Uniform,N,1,,,
5171,311972,2264,,689,6359,503806,P1A-External works within the Plot Curtilage,,,0.00,13284.00,13284.00,13284.00,CL_Uniform,N,1,,,
5172,311973,2264,,689,6359,503807,P1A-External works within the Plot Curtilage,,,0.00,12232.00,12232.00,12232.00,CL_Uniform,N,1,,,
5173,311974,2264,,689,6359,503808,P1A-External works within the Plot Curtilage,,,0.00,15733.00,15733.00,15733.00,CL_Uniform,N,1,,,
5174,311975,2261,,689,6359,503809,P1A-Electrical Installations,,,0.00,112018.00,112018.00,112018.00,CL_Uniform,N,1,,,
5175,311976,2261,,689,6359,503810,P1A-Electrical Installations,,,0.00,26049.00,26049.00,26049.00,CL_Uniform,N,1,,,
5176,311977,2261,,689,6359,503811,P1A-Electrical Installations,,,0.00,154315.00,154315.00,154315.00,CL_Uniform,N,1,,,
5177,311978,2261,,689,6359,503812,P1A-Electrical Installations,,,0.00,71164.00,71164.00,71164.00,CL_Uniform,N,1,,,
5178,311979,2261,,689,6359,503813,P1A-Electrical Installations,,,0.00,38162.00,38162.00,38162.00,CL_Uniform,N,1,,,
