,unit_id,seq_num,unit_abbrev,unit_name
0,103,0,ea,Each
1,213,202,kg,Kilo Gram
2,214,203,Sqm,Square Meter
3,215,204,Cum,Cublic Meter
4,217,102,lm,Linear Meter
5,220,500,sqft,Square Mete
