,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
55,80904,760,10182,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_050,   ,,440,0,24,0,0,0,24,0,0,0,,,,2008-08-07 08:00,2008-08-10 16:00,,2008-06-04 08:00,2008-06-07 16:00,2008-06-04 08:00,2008-06-07 16:00,2008-06-04 08:00,2008-06-07 16:00,,2008-08-07 08:00,2008-08-10 16:00,,PT_Normal,,,,,yPd5ozaTBky24HDCZpXh/g,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
56,80905,760,10179,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_060,    ,,440,0,80,0,176,176,80,0,0,0,,,,2008-08-11 08:00,2008-08-21 16:00,,2008-06-08 08:00,2008-06-18 16:00,2008-06-08 08:00,2008-06-18 16:00,2008-06-08 08:00,2008-06-18 16:00,,2008-08-11 08:00,2008-08-21 16:00,,PT_Normal,,,,,wMBml2QLa0yXt6e1ZuEDpg,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
57,80906,760,10186,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_070,   ,,440,0,96,0,128,128,96,0,0,0,,,,2008-08-23 08:00,2008-09-06 16:00,,2008-06-19 08:00,2008-07-02 16:00,2008-06-19 08:00,2008-07-02 16:00,2008-06-19 08:00,2008-07-02 16:00,,2008-08-23 08:00,2008-09-06 16:00,,PT_Normal,,,,,9hGdFkhNSEO0L155+8pytQ,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
58,80907,760,10180,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_080,  ,,440,0,48,0,96,96,48,0,0,0,,,,2008-09-07 08:00,2008-09-14 16:00,,2008-07-03 08:00,2008-07-09 16:00,2008-07-03 08:00,2008-07-09 16:00,2008-07-03 08:00,2008-07-09 16:00,,2008-09-07 08:00,2008-09-14 16:00,,PT_Normal,,,,,q4akaWr7WkyQYftIPDYK4A,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
59,80908,760,10181,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_090,   ,,440,0,16,0,32,32,16,0,0,0,,,,2008-09-15 08:00,2008-09-16 16:00,,2008-07-10 08:00,2008-07-12 16:00,2008-07-10 08:00,2008-07-12 16:00,2008-07-10 08:00,2008-07-12 16:00,,2008-09-15 08:00,2008-09-16 16:00,,PT_Normal,,,,,llD81kkKnE+23dWd4o7EPQ,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
60,80909,760,10182,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_100,    ,,440,0,80,0,48,48,80,0,0,0,,,,2008-09-17 08:00,2008-10-11 16:00,,2008-07-13 08:00,2008-07-23 16:00,2008-07-13 08:00,2008-07-23 16:00,2008-07-13 08:00,2008-07-23 16:00,,2008-09-17 08:00,2008-10-11 16:00,,PT_Normal,,,,,aFvU4VaPMUWdFfg92w8sog,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
61,80910,760,10181,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_110,  ,,440,0,8,0,0,0,8,0,0,0,,,,2008-10-12 08:00,2008-10-12 16:00,,2008-07-24 08:00,2008-07-24 16:00,2008-07-24 08:00,2008-07-24 16:00,2008-07-24 08:00,2008-07-24 16:00,,2008-10-12 08:00,2008-10-12 16:00,,PT_Normal,,,,,MWDmjNDU40GpKN4NoHRhjw,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
62,80911,760,10179,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_120,   15,,440,0,16,0,48,48,16,0,0,0,,,,2008-10-13 08:00,2008-10-14 16:00,,2008-07-26 08:00,2008-07-27 16:00,2008-07-26 08:00,2008-07-27 16:00,2008-07-26 08:00,2008-07-27 16:00,,2008-10-13 08:00,2008-10-14 16:00,,PT_Normal,,,,,0H4Moh33v0KDRTDl8rnwgQ,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
63,80912,760,10186,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_130,   ,,440,0,120,0,264,264,120,0,0,0,,,,2008-10-15 08:00,2008-11-01 16:00,,2008-07-28 08:00,2008-08-13 16:00,2008-09-10 08:00,2008-10-11 16:00,2008-09-10 08:00,2008-10-11 16:00,,2008-10-15 08:00,2008-11-01 16:00,,PT_Normal,,,,,mvtBeYod60Sdls5j31gJOA,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
64,80913,760,10186,843,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_02_140,  ,,648,16,120,0,24,24,120,0,0,0,,,,2008-11-03 08:00,2008-11-17 16:00,,2008-08-14 08:00,2008-08-28 16:00,2008-10-12 08:00,2008-10-26 16:00,2008-10-12 08:00,2008-10-26 16:00,,2008-11-03 08:00,2008-11-17 16:00,,PT_Normal,,,,,kDe6CIeIXUCS74nJIlrYOg,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
