,task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
412,102129,4512,26198,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.127,"Erect & Fix Stairs, Handrails & Platforms on Shell",6942,432,0,32,0,250,250,32,70,0,70,,,,2013-03-31 11:00,2013-04-03 13:00,,2013-02-12 14:00,2013-02-16 11:00,2013-02-12 14:00,2013-02-16 11:00,2013-02-12 14:00,2013-02-16 11:00,2013-03-31 11:00,2013-04-03 13:00,,PT_Normal,,,,,YS9BKBVSp0WfK78DcbkSng,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
413,102130,4512,26198,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.128,Erect & Fix Roof Platforms & Handrails,6942,432,0,40,0,420,420,40,140,0,140,,,,2013-03-31 11:00,2013-04-04 11:00,,2013-02-12 14:00,2013-02-17 09:00,2013-02-12 14:00,2013-02-17 09:00,2013-02-12 14:00,2013-02-17 09:00,2013-03-31 11:00,2013-04-04 11:00,,PT_Normal,,,,,HVpbLDERK0Wi7nlFjLMKOw,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
414,102131,4512,26158,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.78,Erect & Weld Annular Plates,6942,432,0,120,0,1190,1190,120,350,0,350,,,,2012-11-03 10:00,2012-11-15 15:00,,2012-09-16 08:00,2012-09-29 08:00,2012-09-16 08:00,2012-09-29 08:00,2012-09-16 08:00,2012-09-29 08:00,2012-11-03 10:00,2012-11-15 15:00,,PT_Normal,,,,,SgpGjEbPd0iwwVaQ4AX4MA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
415,102132,4512,26158,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.79,Erect & Tack Bottom Plates,6951,432,0,160,0,960,960,160,420,0,420,,,,2012-11-15 15:00,2012-12-03 10:00,,2012-09-29 08:00,2012-10-16 08:00,2012-09-29 08:00,2012-10-16 08:00,2012-09-29 08:00,2012-10-16 08:00,2012-11-15 15:00,2012-12-03 10:00,,PT_Normal,,,,,S5hXFLDyg0eynjKZMPDs4w,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
416,102133,4512,26158,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.80,Welding of Bottom Plates,6968,432,0,200,0,1050,1050,200,350,0,350,,,,2012-12-03 10:00,2012-12-24 15:00,,2012-10-16 08:00,2012-11-08 08:00,2012-10-16 08:00,2012-11-08 08:00,2012-10-16 08:00,2012-11-08 08:00,2012-12-03 10:00,2012-12-24 15:00,,PT_Normal,,,,,KZPrUtzx/UW98pB6gjDo4w,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
417,102134,4512,26158,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.81,Visual Inspection & Cleaning,6935,432,0,16,0,110,110,16,40,0,40,,,,2012-12-24 15:00,2012-12-26 11:00,,2012-11-08 08:00,2012-11-10 09:00,2012-11-08 08:00,2012-11-10 09:00,2012-11-08 08:00,2012-11-10 09:00,2012-12-24 15:00,2012-12-26 11:00,,PT_Normal,,,,,i2Zk+zSr8U6Us08Iuz216Q,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
418,102135,4512,26158,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.82,Carry Out NDT & Vaccuum Box Test,6935,432,0,24,0,240,240,24,80,0,80,,,,2012-12-26 11:00,2012-12-29 10:00,,2012-11-10 09:00,2012-11-12 13:00,2012-11-10 09:00,2012-11-12 13:00,2012-11-10 09:00,2012-11-12 13:00,2012-12-26 11:00,2012-12-29 10:00,,PT_Normal,,,,,R2q9//7+pkqUgGquhwLFLA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
419,102136,4512,26159,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.118,MArk & Cut Holes,6964,432,0,40,0,180,180,40,60,0,60,,,,2013-02-21 09:00,2013-02-25 14:00,,2013-01-06 15:00,2013-01-10 15:00,2013-01-06 15:00,2013-01-10 15:00,2013-01-06 15:00,2013-01-10 15:00,2013-02-21 09:00,2013-02-25 14:00,,PT_Normal,,,,,92di5OW+MkWaDL9TlyzvlA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
420,102137,4512,26159,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.119,"Fit & Tack Manholes ,Nozzles on Shell",6958,432,0,40,0,220,220,40,80,0,80,,,,2013-02-22 09:30,2013-02-26 12:00,,2013-01-07 13:00,2013-01-12 08:00,2013-01-07 13:00,2013-01-12 08:00,2013-01-07 13:00,2013-01-12 08:00,2013-02-22 09:30,2013-02-26 12:00,,PT_Normal,,,,,34KfcyqsxECXpMNEfeSlOQ,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
421,102138,4512,26159,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.120,Weld MAnholes & Nozzles on shell,6968,432,0,40,0,260,260,40,170,0,170,,,,2013-02-23 10:00,2013-02-27 10:00,,2013-01-08 11:00,2013-01-12 16:00,2013-01-08 11:00,2013-01-12 16:00,2013-01-08 11:00,2013-01-12 16:00,2013-02-23 10:00,2013-02-27 10:00,,PT_Normal,,,,,MhX/z4cRoUaCltTqFB49EA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
