,fin_dates_id,fin_dates_name,start_date,end_date
0,144,2007-05-01,2007-05-01 00:00,2007-05-31 00:00
1,145,2007-04-01,2007-04-01 00:00,2007-04-30 00:00
2,146,2007-03-01,2007-03-01 00:00,2007-03-31 00:00
3,147,2007-02-01,2007-02-01 00:00,2007-02-28 00:00
4,148,2007-01-01,2007-01-01 00:00,2007-01-31 00:00
