,clndr_id,default_flag,clndr_name,proj_id,base_clndr_id,last_chng_date,clndr_type,day_hr_cnt,week_hr_cnt,month_hr_cnt,year_hr_cnt,clndr_data
10,921,N,CMAT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
11,922,N,CMH - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
12,923,N,CNCF - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
13,924,N,CDRAF - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
14,925,N,COQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
15,927,N,ELQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
16,928,N,EMAT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
17,929,N,COOR - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
18,930,N,EXQT - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
19,931,N,FCRP - Cal,,912,,CA_Rsrc,8,40,172,2000,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39304)())(0||1(d|39343)())(0||2(d|39350)())(0||3(d|39357)())(0||4(d|39364)())(0||5(d|39367)())(0||6(d|39370)())(0||7(d|39419)())(0||8(d|39435)())(0||9(d|39436)())(0||10(d|39448)())(0||11(d|39456)())(0||12(d|39527)())(0||13(d|39660)())))))
