,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
10,90504,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2120,Formwork For Tank Slab,,0,0,80,0,120,120,80,0,0,0,,,,2010-08-15 08:00,2010-08-25 16:00,,2010-08-15 08:00,2010-08-25 16:00,2010-08-15 08:00,2010-08-25 16:00,2010-08-15 08:00,2010-08-25 16:00,,2010-08-15 08:00,2010-08-25 16:00,,PT_Normal,,,,,EWJt+fChDEiaEFomyfPCqA,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-08-15 08:00,2010-08-25 16:00,80
11,90505,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2130,Rebar For Tank Slab,2117,0,0,48,0,160,160,48,0,0,0,,,,2010-08-26 08:00,2010-09-01 16:00,,2010-08-26 08:00,2010-09-01 16:00,2010-08-26 08:00,2010-09-01 16:00,2010-08-26 08:00,2010-09-01 16:00,,2010-08-26 08:00,2010-09-01 16:00,,PT_Normal,,,,,MkPWQbnLI0STcrvYC/9e0w,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-08-26 08:00,2010-09-01 16:00,48
12,90506,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2140,Pouring  For Tank slab,,0,0,8,0,40,40,8,0,0,0,,,,2010-09-02 08:00,2010-09-02 16:00,,2010-09-02 08:00,2010-09-02 16:00,2010-09-02 08:00,2010-09-02 16:00,2010-09-02 08:00,2010-09-02 16:00,,2010-09-02 08:00,2010-09-02 16:00,,PT_Normal,,,,,jLcz7IiQvkiugF1DKP6Zxg,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-09-02 08:00,2010-09-02 16:00,8
13,90507,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2150,Internal insulation,,0,0,120,0,0,0,120,0,0,0,,,,2010-09-04 08:00,2010-09-21 16:00,,2010-09-04 08:00,2010-09-21 16:00,2010-09-04 08:00,2010-09-21 16:00,2010-09-04 08:00,2010-09-21 16:00,,2010-09-04 08:00,2010-09-21 16:00,,PT_Normal,,,,,z99TBcNbEUS8b6fx7LjcQg,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-09-04 08:00,2010-09-21 16:00,120
14,90508,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2160,External insulation,,0,0,80,0,0,0,80,0,0,0,,,,2010-09-22 08:00,2010-10-03 16:00,,2010-09-22 08:00,2010-10-03 16:00,2010-09-22 08:00,2010-10-03 16:00,2010-09-22 08:00,2010-10-03 16:00,,2010-09-22 08:00,2010-10-03 16:00,,PT_Normal,,,,,zzhaafXnRE2+4XGp8zKh+w,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-09-22 08:00,2010-10-03 16:00,80
15,90509,793,11885,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A2079,M&E conduits For R.C raft (by others),,7.98333333333333,7.98333333333333,0,0,0,0,0,0,0,0,,,,2010-07-25 16:00,2010-07-25 16:00,,2010-07-25 08:01,2010-07-25 08:01,2010-07-25 08:01,2010-07-25 08:01,2010-07-25 08:01,2010-07-25 08:01,,2010-07-25 16:00,2010-07-25 16:00,,PT_Normal,,,,,9hOfICYTHEihIc6BPgH5Eg,,,,N,0,0,,,2010-08-28 10:04,2010-08-28 13:34,admin,admin,2010-07-25 08:01,2010-07-25 08:01,0
16,90510,793,11885,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A2119,M&E conduits For tank's slab (by others),,7.98333333333333,7.98333333333333,0,0,0,0,0,0,0,0,,,,2010-08-31 16:00,2010-08-31 16:00,,2010-08-31 08:01,2010-08-31 08:01,2010-08-31 08:01,2010-08-31 08:01,2010-08-31 08:01,2010-08-31 08:01,,2010-08-31 16:00,2010-08-31 16:00,,PT_Normal,,,,,xCyMbXo+mUKd0YaLA8z9dg,,,,N,0,0,,,2010-08-28 10:04,2010-08-28 13:34,admin,admin,2010-08-31 08:01,2010-08-31 08:01,0
17,90511,793,11885,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A2109,M&E conduits For R.C walls (by others),,7.98333333333333,7.98333333333333,0,0,0,0,0,0,0,0,,,,2010-08-11 16:00,2010-08-11 16:00,,2010-08-11 08:01,2010-08-11 08:01,2010-08-11 08:01,2010-08-11 08:01,2010-08-11 08:01,2010-08-11 08:01,,2010-08-11 16:00,2010-08-11 16:00,,PT_Normal,,,,,gOj5YZEOnkOIiH0NHlAubg,,,,N,0,0,,,2010-08-28 10:04,2010-08-28 13:34,admin,admin,2010-08-11 08:01,2010-08-11 08:01,0
18,90512,793,11894,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2380,Backfilling Around Foundation,,152,152,96,0,0,0,96,0,0,0,,,,2010-09-18 08:00,2010-09-30 16:00,,2010-08-25 08:00,2010-09-07 16:00,2010-08-25 08:00,2010-09-07 16:00,2010-08-25 08:00,2010-09-07 16:00,,2010-09-18 08:00,2010-09-30 16:00,,PT_Normal,,,,,CxyZ3IVt9EabUZPqsf64PQ,,,,N,0,0,,,2010-08-28 10:04,2010-08-28 13:34,admin,admin,2010-08-25 08:00,2010-09-07 16:00,96
19,90513,793,11895,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2400,Handingover,,0,0,48,0,0,0,48,0,0,0,,,,2010-10-02 08:00,2010-10-07 16:00,,2010-10-02 08:00,2010-10-07 16:00,2010-10-02 08:00,2010-10-07 16:00,2010-10-02 08:00,2010-10-07 16:00,,2010-10-02 08:00,2010-10-07 16:00,,PT_Normal,,,,,SbsRA/L8nkemO3BHl7bpKw,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-10-02 08:00,2010-10-07 16:00,48
