,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
12,55206,90579,793,Y,,,2120,,,,56,,56,7,,0,7,0,,0,0,,0,0,0,0,0,,,2010-07-24 08:00,2010-07-24 16:00,2010-07-24 08:00,2010-07-24 16:00,2010-07-24 08:00,2010-07-24 16:00,Y,,,,N,wzMTGhfsOEygpwh7YM55/w,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:24,2010-07-24 08:00,2010-07-24 16:00,8,,
13,55207,90544,793,Y,,,2120,,,,56,,56,7,,0,7,0,,0,0,,0,0,0,0,0,,,2010-08-05 08:00,2010-08-05 16:00,2010-08-05 08:00,2010-08-05 16:00,2010-08-05 08:00,2010-08-05 16:00,Y,,,,N,zERdIMy770iRrIl5e92kgA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:24,2010-08-05 08:00,2010-08-05 16:00,8,,
14,55208,90545,793,Y,,,2118,,,,2400,,2400,13.04347826,,0,13.04347826,0,,0,0,,0,0,0,0,0,,,2010-07-25 08:00,2010-08-19 16:00,2010-07-25 08:00,2010-08-19 16:00,2010-07-25 08:00,2010-08-19 16:00,Y,,,,N,xQrJbqRF40Gh4ujOWTP6nA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:25,2010-07-25 08:00,2010-08-19 16:00,184,,
15,55209,90546,793,Y,,,2117,,,,2400,,2400,15,,0,15,0,,0,0,,0,0,0,0,0,,,2010-07-27 08:00,2010-08-18 16:00,2010-07-27 08:00,2010-08-18 16:00,2010-07-27 08:00,2010-08-18 16:00,Y,,,,N,FImxuh9P7kOOy6hF8UkISQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:25,2010-07-27 08:00,2010-08-18 16:00,160,,
16,55210,90547,793,Y,,,2120,,,,160,,160,1.11111111,,0,1.11111111,0,,0,0,,0,0,0,0,0,,,2010-08-01 08:00,2010-08-21 16:00,2010-08-01 08:00,2010-08-21 16:00,2010-08-01 08:00,2010-08-21 16:00,Y,,,,N,wZ1d2jG82kqdrdfO15VC1A,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:25,2010-08-01 08:00,2010-08-21 16:00,144,,
17,55211,90548,793,Y,,,2118,,,,4800,,4800,13.63636364,,0,13.63636364,0,,0,0,,0,0,0,0,0,,,2010-08-07 08:00,2010-09-27 16:00,2010-08-07 08:00,2010-09-27 16:00,2010-08-07 08:00,2010-09-27 16:00,Y,,,,N,6/o+awWiE0+PAjP0/eG4mQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:25,2010-08-07 08:00,2010-09-27 16:00,352,,
18,55212,90549,793,Y,,,2117,,,,1800,,1800,5.625,,0,5.625,0,,0,0,,0,0,0,0,0,,,2010-08-14 08:00,2010-09-29 16:00,2010-08-14 08:00,2010-09-29 16:00,2010-08-14 08:00,2010-09-29 16:00,Y,,,,N,6qTJ0Ngx10yHrA7FD3WxLA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:25,2010-08-14 08:00,2010-09-29 16:00,320,,
19,55213,90581,793,Y,,,2120,,,,32,,32,4,,0,4,0,,0,0,,0,0,0,0,0,,,2010-08-19 08:00,2010-08-19 16:00,2010-08-19 08:00,2010-08-19 16:00,2010-10-05 08:00,2010-10-05 16:00,Y,,,,N,7/97xZ1jwk6/A3VdPZBz5Q,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:25,2010-08-19 08:00,2010-08-19 16:00,8,,
20,55214,90582,793,Y,,,2120,,,,96,,96,12,,0,12,0,,0,0,,0,0,0,0,0,,,2010-08-24 08:00,2010-08-24 16:00,2010-08-24 08:00,2010-08-24 16:00,2010-10-05 08:00,2010-10-05 16:00,Y,,,,N,60h27Xn7HkSTI2yK8MsKRg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:25,2010-08-24 08:00,2010-08-24 16:00,8,,
21,55215,90551,793,Y,,,2120,,,,32,,32,4,,0,4,0,,0,0,,0,0,0,0,0,,,2010-09-30 08:00,2010-09-30 16:00,2010-09-30 08:00,2010-09-30 16:00,2010-09-30 08:00,2010-09-30 16:00,Y,,,,N,XiLNrEAia0+msDCjcApQUA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-28 13:25,2010-09-30 08:00,2010-09-30 16:00,8,,
