,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
48,10876,803,,,2631,190484,C,,,0.00,655721.40,655721.40,655721.40,CL_Uniform,N,1,,,
49,10877,803,,,2631,197466,C,,,0.00,300825.18,300825.18,300825.18,CL_Uniform,N,1,,,
50,10878,803,,,2631,197467,C,,,0.00,300825.18,300825.18,300825.18,CL_Uniform,N,1,,,
51,10879,803,,,2631,197468,C,,,0.00,300825.18,300825.18,300825.18,CL_Uniform,N,1,,,
52,10880,803,,,2631,197469,C,,,0.00,300825.18,300825.18,300825.18,CL_Uniform,N,1,,,
53,10881,803,,,2631,197474,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
54,10882,803,,,2631,197475,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
55,10883,803,,,2631,197476,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
56,10884,803,,,2631,197471,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
57,10885,803,,,2631,197472,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
58,10886,803,,,2631,197473,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
59,10887,803,,,2631,197477,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
60,10888,803,,,2631,197478,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
61,10889,803,,,2631,197479,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
62,10890,803,,,2631,197480,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
63,10891,803,,,2631,197481,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
64,10892,803,,,2631,197482,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
65,10893,803,,,2631,197515,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
66,10895,803,,,2631,197516,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
67,10896,803,,,2631,197517,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
68,10897,803,,,2631,197518,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
69,10898,803,,,2631,197519,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
70,10899,803,,,2631,197520,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
71,10900,803,,,2631,197521,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
72,10901,803,,,2631,197522,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
73,10902,803,,,2631,197523,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
74,10903,803,,,2631,197483,C,,,0.00,209538.83,209538.83,209538.83,CL_Uniform,N,1,,,
75,10904,803,,,2631,197487,C,,,0.00,209538.83,209538.83,209538.83,CL_Uniform,N,1,,,
76,10905,803,,,2631,197491,C,,,0.00,209538.83,209538.83,209538.83,CL_Uniform,N,1,,,
77,10906,803,,,2631,197495,C,,,0.00,209538.83,209538.83,209538.83,CL_Uniform,N,1,,,
78,10907,803,,,2631,197499,C,,,0.00,209538.83,209538.83,209538.83,CL_Uniform,N,1,,,
79,10908,803,,,2631,197503,C,,,0.00,209538.83,209538.83,209538.83,CL_Uniform,N,1,,,
80,10909,803,,,2631,197511,C,,,0.00,209538.83,209538.83,209538.83,CL_Uniform,N,1,,,
81,10910,803,,,2631,197507,C,,,0.00,209538.83,209538.83,209538.83,CL_Uniform,N,1,,,
82,10911,803,,,2631,208776,C,,,0.00,14730.58,14730.58,14730.58,CL_Uniform,N,1,,,
83,10912,803,,,2631,208777,C,,,0.00,14730.58,14730.58,14730.58,CL_Uniform,N,1,,,
84,10913,803,,,2631,208778,C,,,0.00,14730.58,14730.58,14730.58,CL_Uniform,N,1,,,
85,10914,861,,,2631,207229,P,,,0.00,1355787.34,46096769.71,46096769.71,CL_Uniform,N,34,,,
86,10948,804,,,2631,197779,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
87,10949,804,,,2631,197763,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
88,10950,804,,,2631,197746,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
89,10951,804,,,2631,197755,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
90,10952,804,,,2631,197771,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
91,10953,804,,,2631,197787,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
92,10954,804,,,2631,197803,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
93,10955,804,,,2631,197795,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
94,10956,804,,,2631,197811,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
95,10957,804,,,2631,197817,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
96,10958,804,,,2631,204053,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
97,10959,804,,,2631,204065,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
98,10960,804,,,2631,197883,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
99,10961,804,,,2631,197907,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
100,10962,804,,,2631,197947,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
101,10963,804,,,2631,197843,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
102,10964,804,,,2631,197891,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
103,10965,804,,,2631,197867,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
104,10966,804,,,2631,197851,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
105,10967,804,,,2631,197859,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
106,10968,804,,,2631,197939,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
107,10969,804,,,2631,197915,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
108,10970,804,,,2631,197923,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
109,10971,804,,,2631,197899,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
110,10972,804,,,2631,197931,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
111,10973,804,,,2631,207275,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
112,10974,804,,,2631,207299,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
113,10975,804,,,2631,207287,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
114,10976,804,,,2631,203133,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
115,10977,804,,,2631,203220,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
116,10978,804,,,2631,203307,B,,,0.00,115740.72,115740.72,115740.72,CL_Uniform,N,1,,,
117,10979,805,,,2631,196208,P,,,0.00,11435.08,11435.08,11435.08,CL_Uniform,N,1,,,
118,10980,805,,,2631,196209,P,,,0.00,11435.08,11435.08,11435.08,CL_Uniform,N,1,,,
119,10981,805,,,2631,196252,p,,,0.00,11435.08,11435.08,11435.08,CL_Uniform,N,1,,,
120,10982,805,,,2631,196253,p,,,0.00,11435.08,11435.08,11435.08,CL_Uniform,N,1,,,
121,10983,805,,,2631,203134,ps,,,0.00,71309.16,71309.16,71309.16,CL_Uniform,N,1,,,
122,10984,805,,,2631,203135,ps,,,0.00,47539.44,47539.44,47539.44,CL_Uniform,N,1,,,
123,10985,805,,,2631,203221,PS,,,0.00,71309.16,71309.16,71309.16,CL_Uniform,N,1,,,
124,10986,805,,,2631,203222,PS,,,0.00,47539.44,47539.44,47539.44,CL_Uniform,N,1,,,
125,10987,805,,,2631,203308,PS,,,0.00,71309.16,71309.16,71309.16,CL_Uniform,N,1,,,
126,10988,805,,,2631,203309,PS,,,0.00,47539.44,47539.44,47539.44,CL_Uniform,N,1,,,
127,10989,806,,,2631,197779,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
128,10990,806,,,2631,197763,F,,,0.00,48443.43,48443.43,48443.43,CL_Uniform,N,1,,,
