,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,42,1770,,,,Hour,
1,136,620,620,,,UDF_G3,
2,137,620,620,,,UDF_G3,
3,138,620,620,,,UDF_G3,"
%E"
