,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
29,6929,6910,6591,,,,,EkeOgmOG/0qz5GSEe/Sq2Q,22500,,,,,Porcurment(including the Delievery of Raw materail to AZ Factory & Pre-Fabrication at Alzamil factor,P4.2.2.5,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
30,6930,6908,6591,,,,,TtW/aqfjgEexoCJ3TvXs6A,21600,,,,,Porcurment(including the Delievery of Raw materail to AZ Factory & Pre-Fabrication at Alzamil factor,P4.1.2.5,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
31,6931,6908,6591,,,,,FK+U4cNDGkW9y8XJy2CrzA,21600,,,,,"Construction (including ,site fabrication & installation works,mobilization,painting,testing &third ",P4.1.2.6,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
32,6932,6919,6591,,,,,YuEu4rbmeUmHHI7Qv4U8Zg,21600,,,,,Engineering,P4.1.3.7,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
33,6933,6918,6591,,,,,RWMNAOkJD0SIsMe5M5swfQ,21600,,,,,"Construction (including ,site fabrication & installation works,mobilization,painting,testing &third ",P4.1.1.3,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
34,6934,6908,6591,,,,,B5qQwP6xKEihs7fXiozRJw,21600,,,,,Engineering,P4.1.2.4,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
35,6935,6915,6590,1572,,,,D283cMqUQUaPKPzR8uy2VA,0,,,,,QC inspector,QC-1,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
36,6936,6909,6591,,,,,iVTNlCO0dUOwsvHaUcUocQ,22500,,,,,Porcurment(including the Delievery of Raw materail to AZ Factory & Pre-Fabrication at Alzamil factor,P4.2.1.2,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
37,6937,6909,6591,,,,,QqoNzwGG9UquxMHdsSu6oA,22500,,,,,"Construction (including ,site fabrication & installation works,mobilization,painting,testing &third ",P4.2.1.3,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
38,6938,6919,6591,,,,,Yng23E7smE2UixFmVah0oQ,21600,,,,,Porcurment(including the Delievery of Raw materail to AZ Factory & Pre-Fabrication at Alzamil factor,P4.1.3.8,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
39,6939,6919,6591,,,,,jFcAaYGYZU+4hv1cuJabFw,21600,,,,,"Construction (including ,site fabrication & installation works,mobilization,painting,testing &third ",P4.1.3.9,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
40,6940,6909,6591,,,,,7OwbisiUekWwKjfkhkOUtQ,22500,,,,,Engineering,P4.2.1.1,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
41,6941,6910,6591,,,,,gflvNfz3NEytC7L4kEfDvA,22500,,,,,Engineering,P4.2.2.4,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
42,6942,6915,6590,1574,,,,tbetLUjAh0aRmAjOp4kc8A,2,,,,,Forman,F-2,,1.25,QT_Hour,1.5,Y,Y,N,Y,1,,RT_Labor,,,,,
43,6943,6910,6591,,,,,3pi79zncKkijjRRT1vAojQ,22500,,,,,"Construction (including ,site fabrication & installation works,mobilization,painting,testing &third ",P4.2.2.6,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
44,6944,6920,6590,1569,,,,au2fWefRMUabgB04DoE4xQ,0,,,,,Backhoe,B-2,,1.25,QT_Hour,,Y,Y,N,N,1,,RT_Equip,,,,,
45,6945,6920,6590,,,,,UfquYwHMUkya28FuqfBHhQ,900,,,,,Vehicle (pick up 3/4T 4*2),E-19,,1.25,QT_Hour,1.5,Y,Y,N,N,1,,RT_Equip,,,,,
46,6946,6920,6590,,,,,7i/YmIWbIkq3L1Q219kvXQ,1100,,,,,"Water truck 30,000 Gallons",E-20,,1.25,QT_Hour,,Y,Y,N,N,1,,RT_Equip,,,,,
47,6947,6920,6590,,,,,pYV1Sllmy0i+GsObKo/RNA,100,,,,,Crane 25T,E-17,,1.25,QT_Hour,,Y,Y,N,N,1,,RT_Equip,,,,,
48,6948,6920,6590,,,,,pfqXr8TlpE69XJ7Q6IAN5A,200,,,,,Vibrating Roller 16T,E-18,,1.25,QT_Hour,,Y,Y,N,N,1,,RT_Equip,,,,,
