,wbs_memo_id,proj_id,memo_type_id,wbs_id,wbs_memo
0,6746,6764,727,35198,<HTML><BODY bgColor=#ffffff><P>RECIEVED TANK COORIDNATES <U><STRONG>7TH OF OCTOBER 2012</STRONG></U>&nbsp;FROM RADICON </P><P>WAITING FOR JUSTIFICATION LETTER FROM RADICON TO PRESENT TO MA'ADEN FOR PROJECT TIME EXTENSION</P></BODY></HTML>
1,6747,6764,20,35198,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
2,6748,6764,727,35367,<HTML><BODY bgColor=#ffffff><P>RECIEVED TANK COORIDNATES <U><STRONG>7TH OF OCTOBER 2012</STRONG></U>&nbsp;FROM RADICON </P><P>WAITING FOR JUSTIFICATION LETTER FROM RADICON TO PRESENT TO MA'ADEN FOR PROJECT TIME EXTENSION</P></BODY></HTML>
3,6749,6764,20,35367,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
4,6750,6764,727,35452,<HTML><BODY bgColor=#ffffff><P>RECIEVED TANK COORIDNATES <U><STRONG>7TH OF OCTOBER 2012</STRONG></U>&nbsp;FROM RADICON </P><P>WAITING FOR JUSTIFICATION LETTER FROM RADICON TO PRESENT TO MA'ADEN FOR PROJECT TIME EXTENSION</P></BODY></HTML>
5,6751,6764,20,35452,"<HTML><BODY bgColor=#ffffff>DESIGN,ENGINEERING,SUPPLY OF MATERIALS,MANUFACTURING,PREFABRICATION,ASSUMBLY,PAINTING&amp;COATING,ERECTION,SHOP TESTING,INSPECTION,PACKING AND DELIEVERY TO SITE,OPERATING &amp; MAINTENANCE MANUALS AND SPARE PARTS PACKADGE</BODY></HTML>"
