,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
43,35239,6764,540,2,N,N,WS_Open,3,RT FOR SHELL COURSE #2 JOINTS,1249,35236,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,qV3op/QsSiWUweqOsBRahw,j38sx1nCvEi/Q9CTI62PAg,
44,35240,6764,540,0,N,N,WS_Open,4,Tank#1,1249,35203,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,WhNFyq2QR5iMAXDy2geGpA,LU8OEUw3RfC33dYguJyemQ,
45,35241,6764,540,1,N,N,WS_Open,1,ANNULAR PLATE WORKS,1249,35240,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,tQnK7xUHRsSaTZKxPwRP4g,hWnZwYuWSV2hONWrOJZJzA,
46,35242,6764,540,2,N,N,WS_Open,11,BOTTOM PLATE WORKS,1249,35240,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,1Eur5BWsStm0DUPgrhaLzA,Qcq1n0bCTx+9M7uB/SNsIA,
47,35243,6764,540,601,N,N,WS_Open,27,ROOF COLUMNS,1249,35203,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,/CmS4YRxR4CcMBEwog6ZrA,HAW1VUXeTI++qEDdBN0xpw,
48,35244,6764,540,1,N,N,WS_Open,2,TANK #2,1249,35243,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,8+JQhRFxTDKXfuyglwNhxA,xZbD/4y0T0WAvZbzbu9tZA,
49,35245,6764,540,0,N,N,WS_Open,1,TANK #1,1249,35243,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,ag77EEJ1Tc2tq+Yed7Btag,t5Huv5WNREaaNCC+RsCRFA,
50,35246,6764,540,1503,N,N,WS_Open,19,MCC,1249,35203,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,NqyYJntUQIaEA80cIGQ7CA,T8CAI17hSwqGlL970UCubg,
51,35247,6764,540,0,N,N,WS_Open,1,TANK #1,1249,35246,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,+OCO+46rS6u/WkH6LnTFww,jjCO2/qwTCmaBYigaNJ5vw,
52,35248,6764,540,1,N,N,WS_Open,2,TANK #2,1249,35246,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,he5MxP1bS+WdIF14g+/tmw,339wRlphTQOZeS21WGfPuQ,
53,35249,6764,540,1303,N,N,WS_Open,9,"TANK #2 (ROOF STRUCTURES/PLATES ASSEMBLY WITH TOP ANGLE ,PLATFROMS/STAIRWAYS & INTERNAL PIPING)-1",1249,35203,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,05lsaNcZT4Kxl1U5LFKI0g,14ET0NXvQG2KfPjj84Twng,
54,35250,6764,540,302,N,N,WS_Open,2,GIRDERS,1249,35249,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,LquflaijRhWJXcWotBnYZA,vwAaPR5UTQe4kF0O26vzpQ,
55,35251,6764,540,406,N,N,WS_Open,6,PLATFORMS & STAIRWAYS ASSEMBLY,1253,35249,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,NH72hgnMSK6jIXmZeduzFQ,U5+wY4sdS3e+B9+uDAPetQ,
56,35252,6764,540,303,N,N,WS_Open,3,RAFTERS,1249,35249,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,0CL9KtOlR5yaiUHZrIajIg,tHNvXiFkQF62qaXj1aHkjQ,
57,35253,6764,540,305,N,N,WS_Open,4,"ROOF PLATES/ROOF MANHOLES(M4,M3) & NOZZLES (N1,N2,V1,V2,H)",1249,35249,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,qAGFe5n+SwibwoRUsc/+3Q,u8x9xm8US466PX9QBThrWg,
58,35254,6764,540,1,N,N,WS_Open,1,TOP CURB ANGLE,1249,35249,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Ka7xAWhpTbuFJX+SZHwpdg,SlPwguyXRliEN0RH7pp0hQ,
59,35255,6764,540,203,N,N,WS_Open,7,SHELL COURSE#3,1249,35203,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,FcB0CcJ2TzarRyPmZWk/bg,og+Fe3oqQvKi5pgjBFuvkQ,
60,35256,6764,540,0,N,N,WS_Open,1,TANK #1,1249,35255,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,MdyjFgYyTdWtk8KrEpHj1g,dif6CyqSR6WGW439IJ8UCw,
61,35257,6764,540,2,N,N,WS_Open,3,RT FOR SHELL COURSE #3 JOINTS,1249,35255,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,DuBatC99RP60/lS2raI4Zw,eyl1LRYXTEG5j4V09c2tgw,
62,35258,6764,540,1,N,N,WS_Open,2,TANK #2,1249,35255,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,bowWvpEaSKKATYVWz8S4+A,Jv9AtPtiQimwDkc1mgiwoQ,
63,35259,6764,540,303,N,N,WS_Open,6,"TANKS VALVES,INSTRUMENTS & INTERNAL CATHODIC PROTECTION",1253,35198,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,0dKtES+nTYyrYE9/4WgQZg,OfgUvSF94k+B2rUGxjdQ4w,
64,35260,6764,540,504,N,N,WS_Open,2,TANK #2,1253,35259,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,tbxoS90QQ2GGv1GyQwlX4w,BXSIbaGcUEO6po3xz81oVw,
65,35261,6764,540,404,N,N,WS_Open,1,TANK#1,1253,35259,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,bESxtigoRSS2tCAbYUAqCQ,QBNIHQ7jX06qv8FFDpXA4g,
66,35262,6764,540,201,N,N,WS_Open,3,"HYDROTESTING,PAINTING ,ATTACHMENTS/VALVES/INSTRUMENTS INSTALLATION",1253,35198,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,FU24j367QuOasCQLH/IEwQ,e5S/Mm2BQrCnzuYFxrUsdw,
67,35263,6764,540,101,N,N,WS_Open,14,TANK#1 BLASTING/PAINTING,1249,35262,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,vtztj1GwRr6xyfJl9lRnoA,X2NfLFDPTmS9+dLC8LD2mw,
68,35264,6764,540,2802,N,N,WS_Open,10,EXTERNAL SURFACE PAINTING,1249,35263,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,XqT/oKbKThq6rKDmU4jcHA,E8dzwi22TQyDVifo31HpWw,
69,35265,6764,540,2803,N,N,WS_Open,12,INTERNAL SURFACE PAINTING,1249,35263,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,W92iWiQySG26VOwDzohnpg,Ar850LCDTT29U1cMt1e6lg,
70,35266,6764,540,1,N,N,WS_Open,3,ROOF COLUMNS WELDING & FINAL ALIGNMENT,1249,35262,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,u4O4S2H+TXqTNUUILOI0Zg,,
71,35267,6764,540,2,N,N,WS_Open,1,TANK#1,1249,35266,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,BFs3FnMWRcqGemOxLabcXg,,
72,35268,6764,540,201,N,N,WS_Open,2,TANK#2,1249,35266,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,4UZ++EuNTt+JHU9wk4AxSg,,
73,35269,6764,540,0,N,N,WS_Open,13,HYDROTESTING,1249,35262,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,b0tKukCgQSSht5u73dT3Vw,YJRLmmdIS/yc0MBpGGXx7A,
74,35270,6764,540,1,N,N,WS_Open,2,TANK #2,1249,35269,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,wcFbzXX3TByVs8ec/ybsPw,PsfW0ke3SZKtyGc1CHA4UA,
75,35271,6764,540,0,N,N,WS_Open,1,TANK #1,1249,35269,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,/KL5st3HTJ29gnP95T2xpg,aookt5rvRFallvSlkheUpA,
76,35272,6764,540,201,N,N,WS_Open,1,TANK#2 BLASTING/PAINTING,1249,35262,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,zQGcm7TzQdCOF0v94Qd6Rw,qgHQPvUNSvm2MBDXQh7hJw,
77,35273,6764,540,2802,N,N,WS_Open,10,EXTERNAL SURFACE PAINTING,1249,35272,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,0yy1XvhQR4ukRG/rwW+wRw,f9zFMDBjSlu4EU9u36OG+Q,
78,35274,6764,540,2803,N,N,WS_Open,12,INTERNAL SURFACE PAINTING,1249,35272,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,SFtBV0oASDePYGl78oZ2Fw,w53eXv3TRnO5iBefjs5ydA,
79,35275,6764,540,3,N,N,WS_Open,28,TANK ATTACHMENTS,1249,35262,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,qsBvbB25Qwip6gTIvnI/fg,OkOdpXttSkWLzybexWcEUQ,
80,35276,6764,540,101,N,N,WS_Open,2,TANK #2,1249,35275,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,YbOTgm4FS9CvbnKCgG+V5Q,FNZwn0RMTaWI2nRMnKUxOw,
81,35277,6764,540,1,N,N,WS_Open,1,TANK #1,1249,35275,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Rn/3svyYRCODUDqlqWH/Cw,CxClt+CMQBqnfVdckl36dQ,
82,35278,6764,540,100,N,N,WS_Open,1,AREA B HANDOVER TO CLIENT (6 WATER STORAGE TANKS),1249,35197,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,C3kN3GiYTgS6zect9eh09A,,
83,35279,6764,540,2,N,N,WS_Open,GHC,Deminarlized Water Tanks TANK#1(10GHC11BB001)& TANK#2(10GHC12BB001) (27.190 MTR D x 19.51 Mtr H),1253,35197,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,YCfHarMyQ1a6CTvv0/NfwA,OcNzq4EM3kOe/ZCiRS+bHw,
84,35280,6764,540,0,N,N,WS_Open,1,Tank Foundation Handover To AZ,1249,35279,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,R38QBC7cS8CV2ROGuSsRdQ,24XbNj2bn0amTtQOP+C8tQ,
85,35281,6764,540,100,N,N,WS_Open,2,MECHANICAL WORK,1249,35279,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,2BC5G1DlTyGZa1G4+Yzh+w,71BsoIYH70qRciY364RiDg,
86,35282,6764,540,701,N,N,WS_Open,10,SHELL COURSE#7/WIND GIRDER/ NOZZLE (N12) WORKS,1249,35281,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,r++sxM+QQbu1sd/Fe9b0IA,KJ/rlRfxK02ljUgkhUPA4w,
87,35283,6764,540,0,N,N,WS_Open,1,TANK #1-SHELL COURSE#6,1249,35282,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,iMNuIqsLShyRDxi9dFv+4g,6ZHAkgCuKEahOASQdKbMpA,
88,35284,6764,540,1,N,N,WS_Open,12,TANK #1-WIND GIRDER,1249,35282,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,WBSZ3UxQQxmXhRb0EdmAEQ,JGLkShPazUK6JJb2u7EMNA,
89,35285,6764,540,2,N,N,WS_Open,2,TANK #2-SHELL COURSE#6,1249,35282,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,4M8aM6z7QCWC2UrsJ1/k/w,CF4OTDGiIEGE6KVVgy6XTQ,
90,35286,6764,540,201,N,N,WS_Open,3,RT FOR SHELL COURSE #6 JOINTS,1249,35282,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,JiIblJj0SlaQ3WPChTdoqg,gvut/2bkz0uUNovrJYh2Xg,
91,35287,6764,540,101,N,N,WS_Open,13,TANK #2-WIND GIRDER,1249,35282,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,OOfjrXNKTLeYLSw48KT/RA,bqK8PevPeUeKYoByq8AGcA,
