,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
13,3010281,12456234,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-12-02 08:00,2007-01-25 00:00,,,2006-12-02 08:00,2006-12-21 17:00,,,Y,+ueMbbfXSa6t1FXPsFNlFA,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
14,3010282,12456235,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,2006-11-05 00:00,,,2006-10-28 08:00,2006-11-06 17:00,,,Y,FOwYLMKfRdO0Pr6U7D4GkQ,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
15,3010283,12456236,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,2006-09-19 00:00,,,2006-10-30 08:00,2006-11-01 17:00,,,Y,O9OWI0XdRuyqNRQ9poDeNg,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
16,3010284,12456237,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,2007-01-25 00:00,,,2006-11-08 08:00,2006-11-14 17:00,,,Y,1Evu1h8bSfOJjPlUYAhvTw,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
17,3010285,12456238,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,2007-01-25 00:00,,,2006-11-11 08:00,2006-11-19 17:00,,,Y,46lQBNj5QZGUaoi5BLn7eg,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
18,3010286,12456240,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-05 00:00,2006-12-27 00:00,,,2006-11-22 08:00,2006-12-07 17:00,,,Y,hXISv3tKQWOU+HnxX3HuRA,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
19,3010287,12456241,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-10-18 00:00,2006-11-05 00:00,,,2006-11-15 08:00,2006-11-26 17:00,,,Y,XVhQ7eOWTAmB9e0GN/inZw,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
20,3010288,12456242,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-10-18 00:00,2007-01-25 00:00,,,2006-11-13 08:00,2006-11-23 17:00,,,Y,5CVVvAV4T9y0RgvTqFZOJQ,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
21,3010289,12456243,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-10-18 00:00,2006-11-05 00:00,,,2006-11-11 08:00,2006-11-18 17:00,,,Y,mFpQM+7DTUWNPWVG2cBdhw,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
22,3010290,12456244,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-17 08:00,2006-12-21 17:00,,,Y,fxsTXSyiR5mBxXFnAb2nXA,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
