,memo_type_id,seq_num,eps_flag,proj_flag,wbs_flag,task_flag,memo_type
0,20,1603,N,N,N,Y,P3 Activity Log Info
1,22,8,Y,Y,Y,Y,Corrective Actions
2,23,103,Y,Y,Y,Y,Current Status
3,33,0,N,N,N,Y,Activity Description
4,64,6,Y,Y,Y,Y,basis of schedule
