,acct_id,parent_acct_id,acct_seq_num,acct_name,acct_short_name,acct_descr
0,1205,1204,50260, ,1,
1,1206,1204,50270,,2,
2,1207,1204,50280,,3,
3,1204,,50250,RHAB,RHAB,
