,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,128,141737,1749,,,694,
1,128,141738,1749,,,8335,
2,128,141739,1749,,,204194,
3,128,141740,1749,,,687237,
4,128,141741,1749,,,291833,
5,128,141742,1749,,,371042,
6,128,141743,1749,,,1516,
7,128,141744,1749,,,0,
8,128,141745,1749,,,8335,
9,128,141746,1749,,,14587,
10,128,141747,1749,,,10420,
11,128,141748,1749,,,1516,
12,128,141749,1749,,,3655,
13,128,141750,1749,,,14619,
14,128,141751,1749,,,18543,
15,128,141752,1749,,,14660,
16,128,141753,1749,,,18851,
17,128,141754,1749,,,10023,
18,128,141755,1749,,,1855,
19,128,141756,1749,,,1466,
20,128,141757,1749,,,1885,
21,128,141758,1749,,,1002,
22,128,141759,1749,,,208,
23,128,141760,1749,,,9061,
24,128,141761,1749,,,7518,
25,128,141762,1749,,,4599,
26,128,141763,1749,,,243,
27,128,141764,1749,,,15743,
28,128,141765,1749,,,31105,
29,128,141766,1749,,,5,
30,128,141767,1749,,,14,
31,128,143076,1749,,,0,
32,128,143077,1749,,,0,
33,128,143078,1749,,,0,
34,128,143079,1749,,,0,
35,128,143080,1749,,,0,
36,128,143081,1749,,,0,
37,128,143082,1749,,,0,
38,128,143083,1749,,,0,
39,128,143084,1749,,,0,
40,128,143085,1749,,,0,
41,128,143086,1749,,,0,
42,128,143087,1749,,,0,
43,128,143088,1749,,,0,
44,128,143089,1749,,,0,
45,128,143090,1749,,,0,
46,128,143091,1749,,,0,
47,128,143092,1749,,,0,
48,129,141737,1749,,0,,
49,129,141738,1749,,0,,
50,129,141739,1749,,0,,
51,129,141740,1749,,0,,
52,129,141741,1749,,0,,
53,129,141742,1749,,0,,
54,129,141743,1749,,0,,
55,129,141744,1749,,0,,
56,129,141745,1749,,0,,
57,129,141746,1749,,0,,
58,129,141747,1749,,0,,
59,129,141748,1749,,0,,
60,129,141749,1749,,0,,
61,129,141750,1749,,0,,
62,129,141751,1749,,0,,
63,129,141752,1749,,0,,
64,129,141753,1749,,0,,
65,129,141754,1749,,0,,
66,129,141755,1749,,0,,
67,129,141756,1749,,0,,
68,129,141757,1749,,0,,
69,129,141758,1749,,0,,
70,129,141759,1749,,0,,
71,129,141760,1749,,0,,
72,129,141761,1749,,0,,
73,129,141762,1749,,0,,
74,129,141763,1749,,0,,
75,129,141764,1749,,0,,
76,129,141765,1749,,0,,
77,129,141766,1749,,0,,
78,129,141767,1749,,0,,
79,129,143076,1749,,0,,
80,129,143077,1749,,0,,
81,129,143078,1749,,0,,
82,129,143079,1749,,0,,
83,129,143080,1749,,0,,
84,129,143081,1749,,0,,
85,129,143082,1749,,0,,
86,129,143083,1749,,0,,
87,129,143084,1749,,0,,
88,129,143085,1749,,0,,
89,129,143086,1749,,0,,
90,129,143087,1749,,0,,
91,129,143088,1749,,0,,
92,129,143089,1749,,0,,
93,129,143090,1749,,0,,
94,129,143091,1749,,0,,
95,129,143092,1749,,0,,"
%E"
