,udf_type_id,table_name,udf_type_name,udf_type_label,logical_data_type,super_flag,indicator_expression,summary_indicator_expression
0,128,TASK,user_field_128,user_text8,FT_TEXT,N,,
1,129,TASK,user_field_129,Difference dates,FT_FLOAT_2_DECIMALS,N,,
