,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,1402,,597,,,,,U+ElEBLpa0yWeY8HFtR3lA,0,,,,,Material,Structure Material,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
1,3752,,597,,,,,0fh2R1UYDEeVM+fAmaDK2w,1809,,,,,DSE,MEP,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
2,4433,,644,,,,,M604GSLLWkevrUr8wLacrA,101,,,,,MNHRS,R,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
3,4434,,644,,,,,/oyaFzRYkEimAlTffYv90g,103,,,,,Cost,R-1,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,,,
4,4435,1402,597,,,,,2/mhESf2ckOVHQH9ANTkUw,18,,,,,Concrete,R-2,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
5,4436,1402,597,,,,,Tsq5UQjB/0eBOlQ4Gmf9Pg,17,,,,,Reinforcement,R-3,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
6,4437,1402,597,,,,,7K6k3x9DeE6bV2K+089aaw,16,,,,,False Ceiling,R-4,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
7,4438,1402,597,,,,,CgxyxFiVUE+Cv5r/9dUPMg,15,,,,,FW,R-5,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
8,4439,1402,597,,,,,KVB7C2T3ZkSkGdnHCUnBCg,14,,,,,BW,R-6,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
9,4440,1402,597,,,,,T9jgU7yv6EeDS+nqAoxMkw,12,,,,,Plaster,R-7,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
10,4441,1402,597,,,,,MMEhFDD1I0GePsSSNHqe8w,10,,,,,Excavation,R-8,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
11,4443,1402,597,,,,,3rqDlRPT4E+aTR+9YwDoQg,6,,,,,Waterproofing,R-10,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
12,4444,1402,597,,,,,8bGH2OeMrEmNW/Bnxwc0/Q,5,,,,,Stone CLadding,R-11,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
13,4445,1402,597,,,,,dRSyO4nYkEi42q03H9vh4Q,2,,,,,Tiling,R-12,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
14,4446,1402,597,,,,,pg5qOjxmdECTAzW5rxSQJw,1,,,,,Painting,R-13,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
15,4450,1402,597,,,,,OfntnVaVUEmJ7/EAsYz/5w,9,,,,,Metal Works & Handrail,R-17,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
16,4453,,644,,,,,w74OPGf8pUqzFD2IJlt5gg,102,,,,,Cash Flow,Cash Flow,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Equip,,,,,
17,4454,,643,332,,,,BzCLxWMep0i3NdwYXBZncg,619,,,,,Ductman,DUC,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
18,4455,,643,332,,,,BFEHXegYdEGLWGuH9hDCVw,620,,,,,Electrician,ELE,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
19,4456,,643,332,,,,Hh9SE1enNEm0hhqxvOeBFw,623,,,,,Plumber,PLU,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
20,4457,,643,332,,,,0lm/Oowg2kizVO7Lxy3baA,621,,,,,Pipe Fitter - CHW,PFC,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
21,4462,3752,597,,,,,uTViFueApESqEVEGGWjbmA,0,,,,,Duct Man,DM,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
22,4480,4462,597,,,,,ZGIO1kFaIEu2z9Z0ecbuBQ,100,,,,,Electrician,EL,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
23,4604,1402,597,,,,,6gbvGCNEPkKGLffLZKfBMw,7,,,,,Aluminum Cladding,R-20,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Mat,,,,,
24,4605,,1346,332,,,,YS6USjS1SkS2tb4tYG/fmw,622,,,,,Pipe Fitter - FF,PFF,,0.125,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
