,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,125177,139743,1749,Y,,,4453,,,7322.659378,7322.659378,65.3808873035714,0,65.3808873035714,0,0,0,,1.0000,7322.6594,0.0000,0.0000,7322.6594,,,2015-05-11 08:00,2015-05-26 16:00,2015-05-11 08:00,2015-05-26 16:00,2015-09-30 08:00,2015-10-13 16:00,Y,,,,N,YQw5uTTyx0GN2iV3PgQyIw,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2014-04-05 12:28,,
1,125178,139743,1749,Y,332,,4455,,3,244,244,2.17857142857143,0,2.17857142857143,0,0,0,,0.0000,0.0000,0.0000,0.0000,0.0000,,,2015-05-11 08:00,2015-05-26 16:00,2015-05-11 08:00,2015-05-26 16:00,2015-09-30 08:00,2015-10-13 16:00,Y,,,,N,0XFdwi1LQEmsbCfYTCvczQ,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2014-04-05 12:28,,
2,125179,139744,1749,Y,,,4453,,,1166.957134,1166.957134,18.23370521875,0,18.23370521875,0,0,0,,1.0000,1166.9571,0.0000,0.0000,1166.9571,,,2015-05-11 08:00,2015-05-19 16:00,2015-05-11 08:00,2015-05-19 16:00,2015-11-29 08:00,2015-12-06 16:00,Y,,,,N,sJ1E4hTpakq6fYKk9J9smA,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2014-04-05 12:28,,
3,125180,139744,1749,Y,332,,4455,,3,128,128,2,0,2,0,0,0,,0.0000,0.0000,0.0000,0.0000,0.0000,,,2015-05-11 08:00,2015-05-19 16:00,2015-05-11 08:00,2015-05-19 16:00,2015-11-29 08:00,2015-12-06 16:00,Y,,,,N,cCA7ZCNK50eYD8GBlntppw,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2014-04-05 12:28,,
4,125181,139745,1749,Y,,,4453,,,5714.024623,5714.024623,89.281634734375,0,89.281634734375,0,0,0,,1.0000,5714.0246,0.0000,0.0000,5714.0246,,,2015-05-11 08:00,2015-05-19 16:00,2015-05-11 08:00,2015-05-19 16:00,2015-12-06 08:00,2015-12-13 16:00,Y,,,,N,dZKj85vU5kiVRpH5hMHuhw,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2014-04-05 12:28,,
5,125182,139745,1749,Y,332,,4455,,3,128,128,2,0,2,0,0,0,,0.0000,0.0000,0.0000,0.0000,0.0000,,,2015-05-11 08:00,2015-05-19 16:00,2015-05-11 08:00,2015-05-19 16:00,2015-12-06 08:00,2015-12-13 16:00,Y,,,,N,+IvClUsSbUSMlrJer2hBOw,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2014-04-05 12:28,,
6,125183,139746,1749,Y,,,4453,,,4034.378277,4034.378277,42.02477371875,0,42.02477371875,0,0,0,,1.0000,4034.3783,0.0000,0.0000,4034.3783,,,2015-05-11 08:00,2015-05-24 16:00,2015-05-11 08:00,2015-05-24 16:00,2015-10-20 08:00,2015-10-31 16:00,Y,,,,N,R4rHPZm2e0evQfsmWXNe4Q,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2014-04-05 12:28,,
7,125184,139746,1749,Y,332,,4455,,3,192,192,2,0,2,0,0,0,,0.0000,0.0000,0.0000,0.0000,0.0000,,,2015-05-11 08:00,2015-05-24 16:00,2015-05-11 08:00,2015-05-24 16:00,2015-10-20 08:00,2015-10-31 16:00,Y,,,,N,0fhqyDygSEGNrEXDeabTuw,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2014-04-05 12:28,,
8,125185,139747,1749,Y,,,4453,,,2785.825001,2785.825001,58.0380208541667,0,58.0380208541667,0,0,0,,1.0000,2785.8250,0.0000,0.0000,2785.8250,,,2015-05-11 08:00,2015-05-17 16:00,2015-05-11 08:00,2015-05-17 16:00,2015-12-11 08:00,2015-12-16 16:00,Y,,,,N,LZEQBJOT5Ee1LvuBPc5eIg,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2014-04-05 12:28,,
9,125186,139747,1749,Y,332,,4455,,3,192,192,4,0,4,0,0,0,,0.0000,0.0000,0.0000,0.0000,0.0000,,,2015-05-11 08:00,2015-05-17 16:00,2015-05-11 08:00,2015-05-17 16:00,2015-12-11 08:00,2015-12-16 16:00,Y,,,,N,K34jJtQ7a0+QGU573063HA,COST_PER_QTY,0.0000,0,,RT_Labor,ST_Rsrc,admin,2014-04-05 12:28,,
10,125187,139748,1749,Y,,,4453,,,6361.759893,6361.759893,56.8014276160714,0,56.8014276160714,0,0,0,,1.0000,6361.7599,0.0000,0.0000,6361.7599,,,2015-03-22 08:00,2015-04-06 16:00,2015-03-22 08:00,2015-04-06 16:00,2015-09-16 08:00,2015-09-29 16:00,Y,,,,N,giYV7ju00UyAbR53rJlOtg,COST_PER_QTY,0.0000,0,,RT_Equip,ST_Rsrc,admin,2014-04-05 12:28,,
