,role_id,parent_role_id,seq_num,role_name,role_short_name,pobs_id,def_cost_qty_link_flag,cost_qty_type,role_descr,last_checksum
0,401,332,1243224,IT,IT,,Y,QT_Hour,<HTML><BODY></BODY></HTML>,
1,332,,1606,Corporate Roles,Corp,,Y,QT_Hour,,
