,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,42,1756,,,,Hour,
1,196,84429,761,2010-08-24 17:00,,,
2,196,84474,761,2010-08-19 17:00,,,
3,196,84521,761,2010-08-19 17:00,,,
4,196,84566,761,2011-01-25 17:00,,,
5,196,84611,761,2010-10-11 17:00,,,
6,196,84656,761,2011-05-08 17:00,,,
7,196,84703,761,2010-09-05 17:00,,,
8,196,84750,761,2011-07-20 17:00,,,
9,196,84797,761,2010-09-25 17:00,,,
10,196,84844,761,2010-08-23 17:00,,,
11,196,84891,761,2010-06-25 17:00,,,
12,196,84943,761,2011-07-01 17:00,,,
13,196,84995,761,2011-07-20 17:00,,,
14,196,85047,761,2011-07-01 17:00,,,
15,196,85099,761,2010-07-14 17:00,,,
16,196,85151,761,2010-07-13 17:00,,,
17,196,85203,761,2010-10-04 17:00,,,
18,196,85250,761,2010-12-04 17:00,,,
19,196,85297,761,2010-10-22 17:00,,,
20,196,85344,761,2010-11-14 17:00,,,
21,196,85396,761,2010-10-04 17:00,,,
22,196,85495,761,2010-05-11 17:00,,,
23,196,85547,761,2010-12-02 17:00,,,
24,196,85599,761,2010-09-02 17:00,,,
25,196,85646,761,2010-07-26 17:00,,,
26,196,85693,761,2010-05-27 17:00,,,
27,196,85745,761,2010-05-27 17:00,,,
28,196,85797,761,2011-06-17 17:00,,,
29,196,85849,761,2011-06-17 17:00,,,
30,196,85901,761,2010-09-28 17:00,,,
31,196,85953,761,2010-09-06 17:00,,,
32,196,86000,761,2010-09-09 17:00,,,
33,196,86052,761,2010-10-04 17:00,,,
34,196,86099,761,2010-12-07 17:00,,,
35,196,86146,761,2011-06-06 17:00,,,
36,196,86193,761,2011-05-15 17:00,,,
37,196,86240,761,2011-05-24 17:00,,,
38,196,86287,761,2011-06-26 17:00,,,
39,196,86334,761,2011-05-23 17:00,,,
40,196,86386,761,2011-06-23 17:00,,,
41,196,86438,761,2010-12-18 17:00,,,
42,196,86490,761,2011-06-06 17:00,,,
43,196,86547,761,2010-10-04 17:00,,,
44,196,86599,761,2010-10-01 17:00,,,
45,196,86651,761,2010-10-04 17:00,,,
46,196,86703,761,2010-08-23 17:00,,,
47,196,86755,761,2010-09-25 17:00,,,
48,196,86807,761,2010-10-01 17:00,,,
49,196,86859,761,2011-05-07 17:00,,,
50,196,86911,761,2011-06-01 17:00,,,
51,196,86958,761,2010-09-01 17:00,,,
52,196,87005,761,2010-04-18 17:00,,,
53,196,87104,761,2010-09-01 17:00,,,
54,196,87151,761,2011-05-04 17:00,,,
55,196,87198,761,2010-08-23 17:00,,,
56,196,87250,761,2010-08-23 17:00,,,
57,196,87302,761,2010-09-25 17:00,,,
58,196,87354,761,2010-11-02 17:00,,,
59,196,87406,761,2010-12-26 17:00,,,
60,196,87458,761,2010-09-27 17:00,,,
61,196,87505,761,2010-09-27 17:00,,,
62,196,87552,761,2011-05-24 17:00,,,
63,196,87599,761,2010-12-22 17:00,,,
64,196,87651,761,2011-05-09 17:00,,,
65,196,87703,761,2010-08-23 17:00,,,
66,196,87755,761,2011-05-08 17:00,,,
67,196,87807,761,2011-05-04 17:00,,,
68,196,87859,761,2010-01-25 17:00,,,
69,196,87906,761,2010-11-13 17:00,,,
70,196,87958,761,2010-02-27 17:00,,,
71,196,88005,761,2010-06-30 17:00,,,
72,196,88097,761,2010-06-18 17:00,,,
73,196,88142,761,2010-07-23 17:00,,,
74,196,88187,761,2010-02-15 17:00,,,
75,196,88232,761,2010-05-03 17:00,,,
76,196,88277,761,2010-10-21 17:00,,,
77,196,88324,761,2010-03-05 17:00,,,
78,196,88371,761,2010-03-11 17:00,,,
79,196,88423,761,2010-03-07 17:00,,,
80,196,88475,761,2010-06-27 17:00,,,
81,196,88527,761,2010-06-01 17:00,,,
82,196,88579,761,2010-02-16 17:00,,,
83,196,88631,761,2010-04-03 17:00,,,
84,196,88683,761,2010-05-21 17:00,,,
85,196,88730,761,2010-04-02 17:00,,,
86,196,88777,761,2010-07-01 17:00,,,
87,196,88822,761,2010-01-24 17:00,,,
88,196,88869,761,2010-02-06 17:00,,,
89,196,88921,761,2010-02-06 17:00,,,
90,196,88973,761,2011-01-12 17:00,,,
91,196,89020,761,2010-04-20 17:00,,,
92,196,89072,761,2010-02-08 17:00,,,
93,196,89164,761,2010-02-01 17:00,,,
94,196,89209,761,2010-01-25 17:00,,,
95,196,89254,761,2010-02-14 17:00,,,
96,196,89301,761,2010-01-25 17:00,,,
97,196,89348,761,2010-01-25 17:00,,,
98,196,89400,761,2010-01-26 17:00,,,
99,196,89447,761,2010-01-25 17:00,,,
100,196,89499,761,2010-01-25 17:00,,,
101,196,89551,761,2010-02-01 17:00,,,
102,196,89603,761,2010-02-01 17:00,,,
103,196,89655,761,2010-02-11 17:00,,,
104,196,89702,761,2010-02-09 17:00,,,
105,196,89747,761,2010-04-04 17:00,,,
106,196,89792,761,2010-02-09 17:00,,,
107,196,89839,761,2010-04-01 17:00,,,
108,196,89886,761,2010-03-21 17:00,,,
109,196,89933,761,2010-05-16 17:00,,,
110,196,89980,761,2010-01-27 17:00,,,
111,196,90032,761,2010-02-02 17:00,,,
112,196,90079,761,2010-02-20 17:00,,,
113,196,90126,761,2010-05-18 17:00,,,
114,196,90173,761,2010-06-01 17:00,,,
115,196,90220,761,2010-03-27 17:00,,,
116,196,90267,761,2010-05-07 17:00,,,
117,196,90314,761,2010-03-15 17:00,,,
118,196,90361,761,2010-08-12 17:00,,,
119,196,90406,761,2010-02-22 17:00,,,
