,udf_type_id,table_name,udf_type_name,udf_type_label,logical_data_type,super_flag,indicator_expression,summary_indicator_expression
0,42,RSRC,user_text4,user_text4,FT_TEXT,N,,
1,196,TASK,user_field_196, ,FT_END_DATE,N,,
2,197,TASK,user_field_197, 2007,FT_INT,N,,
3,198,TASK,user_field_198, ,FT_INT,N,,
