,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
6662,91043,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268200,  ,2286,3616,0,40,0,24,24,40,280,0,280,,,,2010-01-30 08:00,2010-02-03 17:00,,2008-07-10 08:00,2008-07-15 17:00,2008-07-10 08:00,2008-07-15 17:00,2008-07-10 08:00,2008-07-15 17:00,,,,,PT_Normal,,,,,CJCrbINl4UqVUs5ktrT/sw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6663,91044,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268210,   ,2286,2808,0,168,0,8,8,168,0,0,0,,,,2009-12-23 08:00,2010-01-16 17:00,,2008-10-11 08:00,2008-11-03 17:00,2008-10-11 08:00,2008-11-03 17:00,2008-10-11 08:00,2008-11-03 17:00,,,,,PT_Normal,,,,,ZJx+Vax7ukGHSf1ELGJquw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6664,91045,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268220,   ,2286,3048,0,24,0,64,64,24,1520,0,1520,,,,2010-03-01 08:00,2010-03-03 17:00,,2008-11-12 08:00,2008-11-15 17:00,2008-11-12 08:00,2008-11-15 17:00,2008-11-12 08:00,2008-11-15 17:00,,,,,PT_Normal,,,,,+7iU6CVQ30WHmWw1vNnImA,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6665,91046,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268230,   ,2126,3136,0,48,0,336,336,48,40168,0,40168,,,,2009-10-17 08:00,2009-10-22 17:00,,2008-06-15 08:00,2008-06-21 17:00,2008-06-15 08:00,2008-06-21 17:00,2008-06-15 08:00,2008-06-21 17:00,,,,,PT_Normal,,,,,LcKI1PU1mkGOdVpKbIhppQ,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6666,91047,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268240,  ,2286,3144,8,48,0,8,8,48,80828.8,0,80828.8,,,,2009-10-18 08:00,2009-10-24 17:00,,2008-06-15 08:00,2008-06-21 17:00,2008-06-15 08:00,2008-06-21 17:00,2008-06-15 08:00,2008-06-21 17:00,,,,,PT_Normal,,,,,sjVRx4mKwUaoBEthN10zxQ,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6667,91048,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268250,  ,2286,3616,0,40,0,8,8,40,27960,0,27960,,,,2010-02-04 08:00,2010-02-09 17:00,,2008-07-16 08:00,2008-07-21 17:00,2008-07-16 08:00,2008-07-21 17:00,2008-07-16 08:00,2008-07-21 17:00,,,,,PT_Normal,,,,,Vps73ukTXU+ws3mxU6ByVA,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6668,91049,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268260,  ,2286,3048,0,16,0,8,8,16,1008,0,1008,,,,2010-03-04 08:00,2010-03-06 17:00,,2008-11-16 08:00,2008-11-17 17:00,2008-11-16 08:00,2008-11-17 17:00,2008-11-16 08:00,2008-11-17 17:00,,,,,PT_Normal,,,,,2uNv4h17gUug3qReTYK2Sg,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6669,91050,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268270, ,2290,3048,240,24,0,35.2,35.2,24,1016,0,1016,,,,2010-03-07 08:00,2010-03-09 17:00,,2008-11-18 08:00,2008-11-20 17:00,2008-11-18 08:00,2008-11-20 17:00,2008-11-18 08:00,2008-11-20 17:00,,,,,PT_Normal,,,,,K0VcbvwebUyc+47tu/oBUg,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6670,91051,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268280,   ,2290,3136,0,120,0,1644,1644,120,7670.72,0,7670.72,,,,2009-10-25 08:00,2009-11-10 17:00,,2008-06-23 08:00,2008-07-09 17:00,2008-06-23 08:00,2008-07-09 17:00,2008-06-23 08:00,2008-07-09 17:00,,,,,PT_Normal,,,,,UQZb3EIEpEmK7wiqayeULA,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6671,91052,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268290,  ,2290,3616,0,40,0,216,216,40,1888,0,1888,,,,2010-02-10 08:00,2010-02-15 17:00,,2008-07-22 08:00,2008-07-27 17:00,2008-07-22 08:00,2008-07-27 17:00,2008-07-22 08:00,2008-07-27 17:00,,,,,PT_Normal,,,,,ZBEtd6U39UGoqOkOeNNZqg,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6672,91053,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268300, ,2290,2808,0,168,0,754.4,754.4,168,5086.88,0,5086.88,,,,2010-01-17 08:00,2010-02-09 17:00,,2008-11-04 08:00,2008-11-27 17:00,2008-11-04 08:00,2008-11-27 17:00,2008-11-04 08:00,2008-11-27 17:00,,,,,PT_Normal,,,,,rNchhAq5DEariygCsiAbnw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6673,91054,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268310,H.D.F.   ,2290,3600,0,24,0,32,32,24,967.2,0,967.2,,,,2010-01-27 08:00,2010-01-30 17:00,,2008-07-10 08:00,2008-07-13 17:00,2008-07-10 08:00,2008-07-13 17:00,2008-07-10 08:00,2008-07-13 17:00,,,,,PT_Normal,,,,,815UFz7Ka0i6TIcKaw6vEw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6674,91055,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268320, ,2290,3600,0,64,0,204.8,204.8,64,2371.04,0,2371.04,,,,2010-01-31 08:00,2010-02-08 17:00,,2008-07-14 08:00,2008-07-22 17:00,2008-07-14 08:00,2008-07-22 17:00,2008-07-14 08:00,2008-07-22 17:00,,,,,PT_Normal,,,,,X055gQJ0eUW55dEWlTw2zw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6675,91056,761,10193,842,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V3268330, ,2290,3600,0,64,0,125.6,125.6,64,782.4,0,782.4,,,,2010-02-09 08:00,2010-02-17 17:00,,2008-07-23 08:00,2008-07-31 17:00,2008-07-23 08:00,2008-07-31 17:00,2008-07-23 08:00,2008-07-31 17:00,,,,,PT_Normal,,,,,68pVoRSc1kWk9+BpsSPaVw,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
