,role_id,parent_role_id,seq_num,role_name,role_short_name,pobs_id,def_cost_qty_link_flag,cost_qty_type,role_descr,last_checksum
0,515,,1,KANABSH,R-184,,Y,QT_Hour,,
1,516,515,0,Project manger,R-11,,Y,QT_Hour,"<HTML><BODY bgColor=#ffffff>resposible of all project such as planning ,comnstructing ,manging etc</BODY></HTML>",
