,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
385,85470,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A111,Reinforcement Fixing for Pier - Lift 1,2971,116,0,18,0,236,236,18,18,0,18,,,,2013-05-14 09:00,2013-05-15 17:00,,2013-04-28 13:00,2013-04-30 11:00,2013-04-28 13:00,2013-04-30 11:00,2013-04-28 13:00,2013-04-30 11:00,,2013-05-14 09:00,2013-05-15 17:00,,PT_Normal,,,,,Ac9eIR9aCEq+vKHl/kB8hg,Y2FXJMYbROm/j3EUxosRNA,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
386,85471,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A115,Erection of Scaffolding for Pier - Lift 2,3002,116,0,9,0,78,78,9,8,0,8,,,,2013-05-19 15:00,2013-05-20 14:00,,2013-05-04 09:00,2013-05-05 08:00,2013-05-04 09:00,2013-05-05 08:00,2013-05-04 09:00,2013-05-05 08:00,,2013-05-19 15:00,2013-05-20 14:00,,PT_Normal,,,,,gTN/XzBAMEmML8nPGBh/VQ,6m6vamSQQhm4nBltwV4wFg,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
387,85472,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A117,Reinforcement Fixing for Pier - Lift 2,2971,116,116,18,0,238,238,18,20,0,20,,,,2013-05-20 14:00,2013-05-22 12:00,,2013-05-05 08:00,2013-05-06 16:00,2013-05-05 08:00,2013-05-06 16:00,2013-05-05 08:00,2013-05-06 16:00,,2013-05-20 14:00,2013-05-22 12:00,,PT_Normal,,,,,rttaK8UPUES2SR2Dtp1d7g,nID8KcLyS++IaGudRkcmNg,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
388,85473,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A118,Formwork for Pier - Lift 2,2980,0,0,9,0,78,78,9,8,0,8,,,,2013-05-22 12:00,2013-05-25 11:00,,2013-05-22 12:00,2013-05-25 11:00,2013-05-22 12:00,2013-05-25 11:00,2013-05-22 12:00,2013-05-25 11:00,,2013-05-22 12:00,2013-05-25 11:00,,PT_Normal,,,,,K0OIPmm/rU+tm6004M8iFg,WK9zdXCGR4+wA6cO88cdBA,,,Y,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
389,85474,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A119,Concreting for Pier - Lift 2,2969,0,0,9,0,99,99,9,42,0,42,,,,2013-05-25 11:00,2013-05-26 10:00,,2013-05-25 11:00,2013-05-26 10:00,2013-05-25 11:00,2013-05-26 10:00,2013-05-25 11:00,2013-05-26 10:00,,2013-05-25 11:00,2013-05-26 10:00,,PT_Normal,,,,,ocnkT+27mk2Ahzei/XPaPQ,UhvV+q9mR325weduLmIT+g,,,Y,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
390,85475,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A120,Erection of Scaffolding for Pier - Lift 3,3002,18,0,9,0,98,98,9,8,0,8,,,,2013-05-28 08:00,2013-05-28 17:00,,2013-05-26 10:00,2013-05-27 09:00,2013-05-26 10:00,2013-05-27 09:00,2013-05-26 10:00,2013-05-27 09:00,,2013-05-28 08:00,2013-05-28 17:00,,PT_Normal,,,,,xqXVGIqAGU6p0tdt29204A,OTfjiempQdSa2sGBheehxA,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
391,85476,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A121,Reinforcement Fixing for Pier - Lift 3,2971,18,0,9,0,117,117,9,8,0,8,,,,2013-05-29 07:00,2013-05-29 16:00,,2013-05-27 09:00,2013-05-28 08:00,2013-05-27 09:00,2013-05-28 08:00,2013-05-27 09:00,2013-05-28 08:00,,2013-05-29 07:00,2013-05-29 16:00,,PT_Normal,,,,,XTs4M4ZFVkuhJGa/Zp61PQ,ySJmQiHWTU6vrd+DBrktZw,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
392,85477,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A122,Formwork for Pier - Lift 3,2980,18,0,9,0,86,86,9,8,0,8,,,,2013-05-29 16:00,2013-06-01 15:00,,2013-05-28 08:00,2013-05-28 17:00,2013-05-28 08:00,2013-05-28 17:00,2013-05-28 08:00,2013-05-28 17:00,,2013-05-29 16:00,2013-06-01 15:00,,PT_Normal,,,,,NlmIJLoZQ0WfDp9wwM5hPg,K0VH8gAIT4+f6qBmhn1woQ,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
393,85478,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A123,Concreting for Pier - Lift 3,2984,18,0,9,0,99,99,9,33,0,33,,,,2013-06-01 15:00,2013-06-02 14:00,,2013-05-29 07:00,2013-05-29 16:00,2013-05-29 07:00,2013-05-29 16:00,2013-05-29 07:00,2013-05-29 16:00,,2013-06-01 15:00,2013-06-02 14:00,,PT_Normal,,,,,K7aS0YFLV0izoRpl94mdWQ,9YdkRc6nRC+QQ7IlWpZL3w,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
394,85479,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A108,Setting Out  for Pier,2971,123,0,9,0,27,27,9,9,0,9,,,,2013-05-11 10:00,2013-05-12 09:00,,2013-04-23 07:00,2013-04-23 16:00,2013-04-23 07:00,2013-04-23 16:00,2013-04-23 07:00,2013-04-23 16:00,,2013-05-11 10:00,2013-05-12 09:00,,PT_Normal,,,,,m8lBHqJE2U+8BuxcVeqKbg,faf7D8jYRqil956MDtRPgw,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
395,85480,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A110,Reinforcement Cutting & Bending for Pier - Lift 1,,116,0,36,0,540,540,36,80,0,80,,,,2013-05-08 13:00,2013-05-14 09:00,,2013-04-23 07:00,2013-04-28 13:00,2013-04-23 07:00,2013-04-28 13:00,2013-04-23 07:00,2013-04-28 13:00,,2013-05-08 13:00,2013-05-14 09:00,,PT_Normal,,,,,HSHW3Ac+qka8Fwmfl056zA,StoRXRuGSJG5LoyQRy95Lg,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
396,85481,1346,11548,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A112,Reinforcement Cutting & Bending for Pier - Lift 2,2984,120,0,36,0,756,756,36,80,0,80,,,,2013-05-13 07:00,2013-05-18 13:00,,2013-04-27 07:00,2013-04-30 13:00,2013-04-27 07:00,2013-04-30 13:00,2013-04-27 07:00,2013-04-30 13:00,,2013-05-13 07:00,2013-05-18 13:00,,PT_Normal,,,,,a3UDY1HnykmMNtDWPIsuOw,krsVg7sNR16UVC0VDQF7wA,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
