,memo_id,task_id,memo_type_id,proj_id,task_memo
40,10767,86351,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>     131 &nbsp;7&nbsp;     131  8  &nbsp;</BODY></HTML>"
41,10768,86400,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
42,10769,86401,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
43,10770,86479,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
44,10771,86480,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
45,10772,86593,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
46,10773,86594,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
47,10774,86651,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>     128   1   21&nbsp; </BODY></HTML>"
48,10775,86695,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
49,10776,86696,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
50,10777,86730,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>     127&nbsp;7   11     </BODY></HTML>"
51,10778,86786,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
52,10779,86787,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
53,10780,86838,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
54,10781,86839,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
55,10782,86934,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
56,10783,86935,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
