,issue_id,obs_id,proj_id,rsrc_id,task_id,thresh_id,thresh_parm_id,track_view_id,wbs_id,add_by_name,issue_name,resolv_date,add_date,priority_type,status_code,base_proj_id,hi_parm_value,issue_value,lo_parm_value,issue_notes
0,2564,565,859,,,,,,10571,admin,(New Issue),,2010-04-29 17:02,PT_Normal,IS_Open,,,,,
1,2565,565,859,,,,,,10572,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.97,70,
2,2566,565,859,,,,,,10573,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.97,70,
3,2567,565,859,,,,,,10577,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.97,70,
4,2568,565,859,,,,,,10581,Monitor,SPI - Schedule Performance Index (ratio) is 0.9 on WBS: R29BT-modefied-1.T.S2.Jan.129,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.95,70,
5,2569,565,859,,,,,,10586,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.21,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.97,70,
6,2570,565,859,,,,,,10618,Monitor,SPI - Schedule Performance Index (ratio) is 0.6 on WBS: R29BT-modefied-1.T.S2.Jan.129.21.2,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.6,70,
7,2571,565,859,,,,,,10624,Monitor,SPI - Schedule Performance Index (ratio) is 0.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.21.3,,2010-04-18 00:00,PT_Normal,IS_Open,,,0,70,
8,2572,565,859,,,,,,10607,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.21.1,,2010-04-18 00:00,PT_Normal,IS_Open,,,1,70,
9,2573,565,859,,,,,,10608,Monitor,SPI - Schedule Performance Index (ratio) is 0.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.21.4,,2010-04-18 00:00,PT_Normal,IS_Open,,,0,70,
10,2574,565,859,,,,,,10602,Monitor,SPI - Schedule Performance Index (ratio) is 0.9 on WBS: R29BT-modefied-1.T.S2.Jan.129.6,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.94,70,
11,2575,565,859,,,,,,10625,Monitor,SPI - Schedule Performance Index (ratio) is 0.1 on WBS: R29BT-modefied-1.T.S2.Jan.129.6.4,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.15,70,
12,2576,565,859,,,,,,10628,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.6.2,,2010-04-18 00:00,PT_Normal,IS_Open,,,1,70,
13,2577,565,859,,,,,,10670,Monitor,SPI - Schedule Performance Index (ratio) is 0.6 on WBS: R29BT-modefied-1.T.S2.Jan.129.6.3,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.57,70,
14,2578,565,859,,,,,,10610,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.6.1,,2010-04-18 00:00,PT_Normal,IS_Open,,,1,70,
15,2579,565,859,,,,,,10585,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.5,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.97,70,
16,2580,565,859,,,,,,10632,Monitor,SPI - Schedule Performance Index (ratio) is 0.2 on WBS: R29BT-modefied-1.T.S2.Jan.129.5.4,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.25,70,
17,2581,565,859,,,,,,10635,Monitor,SPI - Schedule Performance Index (ratio) is 0.8 on WBS: R29BT-modefied-1.T.S2.Jan.129.5.3,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.78,70,
18,2582,565,859,,,,,,10677,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.5.1,,2010-04-18 00:00,PT_Normal,IS_Open,,,1,70,
19,2583,565,859,,,,,,10615,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.5.2,,2010-04-18 00:00,PT_Normal,IS_Open,,,1,70,
20,2584,565,859,,,,,,10597,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.15,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.98,70,
21,2585,565,859,,,,,,10617,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.15.2,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.99,70,
22,2586,565,859,,,,,,10614,Monitor,SPI - Schedule Performance Index (ratio) is 0.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.15.4,,2010-04-18 00:00,PT_Normal,IS_Open,,,0,70,
23,2587,565,859,,,,,,10679,Monitor,SPI - Schedule Performance Index (ratio) is 0.9 on WBS: R29BT-modefied-1.T.S2.Jan.129.15.3,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.92,70,
24,2588,565,859,,,,,,10644,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.15.1,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.96,70,
25,2589,565,859,,,,,,10604,Monitor,SPI - Schedule Performance Index (ratio) is 1.0 on WBS: R29BT-modefied-1.T.S2.Jan.129.16,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.97,70,
26,2590,565,859,,,,,,10646,Monitor,SPI - Schedule Performance Index (ratio) is 0.6 on WBS: R29BT-modefied-1.T.S2.Jan.129.16.3,,2010-04-18 00:00,PT_Normal,IS_Open,,,0.6,70,
