,udf_type_id,table_name,udf_type_name,udf_type_label,logical_data_type,super_flag,indicator_expression,summary_indicator_expression
0,62,TASK,user_number4,Open Commitments,FT_FLOAT_2_DECIMALS,N,,
1,135,TASK,user_field_135,Cost Indicator,FT_STATICTYPE,N,,
2,142,TASK,user_field_142,user_end_date1,FT_END_DATE,N,,
