,unit_id,seq_num,unit_abbrev,unit_name
0,101,200,ea,Each
1,105,101,LS,Lump Sum
2,108,103,3,
3,109,104,2,
4,110,105,,
5,111,106,,
6,112,102,,
7,113,201,,
8,114,101,,
9,115,108,  20 , 20
10,116,107,,
