,actv_code_type_id,actv_short_len,seq_num,actv_code_type,proj_id,wbs_id,actv_code_type_scope
0,7365,7,0, ,774,,AS_Project
1,7366,7,100,,774,,AS_Project
2,7367,7,1,,774,,AS_Project
