,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,12805,,7951,HVAC,HAVC,0
1,12806,,7951,ELEC,ELEC,100
2,12807,,7953,FINISHING,ARCH,0
3,12808,,7952,CIVIL,CIVIL,0
4,12809,,7952,FIRST LEVEL,F,100
5,12810,,7952,SECOND LEVEL,SC,200
6,12811,,7952,THIRD LEVEL,TH,300
