,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
68,13479,13415,12845,,,,,9Sbua+3VuUmlHTB4JZ5ltQ,1802,,,,,FACADE STEEL GRILL,QTY FAC. SG1,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
69,13480,13450,12845,,,,,V3s5JsUZHECmAR51bOK7UQ,201,,,,,CEILING PAINT,QTY CEILING PAINT,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
70,13481,13450,12845,,,,,J06hPJHZ3UOKgACGFtIRCg,101,,,,,CEILING GRID FOR GYPSUM,QTY CEILING GRID,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
71,13482,13450,12845,,,,,36tr67ALvkm4IMwA417MjQ,0,,,,,CEILING GYPSUM,QTY CEILING GYPSUM,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
72,13483,13450,12845,,,,,Qx5CRgToQEqUtUxlR8+mWw,3,,,,,ASSORTED CEILING FINISH,QTY CEILING AST,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
73,13484,13444,12845,,,,,/703FHtMXkquGJN1FMcY/w,301,,,,,TERRAZO FLOOR,QTY FLOOR TERRAZO,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
74,13485,13448,12845,,,,,R1ex5lvp1EKAlVAZupwoGg,1,,,,,ASSORTED WALL FINISH,QTY WALL AST,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
75,13486,13448,12845,,,,,fVl8ClowK0iB2DCCohr1PA,0,,,,,WALL PAINT,QTY WALL PAINT,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
76,13487,13420,12845,,,,,BYOv6qD5QEKaaDmP8I6pdw,0,,,,,FACADE ALUMINUM CURTAIL WALL,LAB FAC. ACW,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
77,13488,13415,12845,,,,,9DdPCsNDzk+8b6eUeNFtkA,1401,,,,,FACADE METAL PANEL 2,QTY FAC. M2,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
78,13489,13415,12845,,,,,zmQ7OItHnEKCzC8Yq6xLsA,1001,,,,,FACADE GLASS BOX,QTY FAC. GB,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
79,13490,13420,12845,,,,,0gKlKQqoDUOU6jJfSl2+rA,201,,,,,FACADE CURTAIN WALL 4,LAB FAC. C4,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
80,13491,13420,12845,,,,,2IJCYhaw60+czuKBBxLujw,301,,,,,FACADE CURTAIN WALL 5,LAB FAC. C5,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
81,13492,13420,12845,,,,,UlxF1Bym6Eub+hcPcBS8sQ,401,,,,,FACADE CURTAIN WALL 6,LAB FAC. C6,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
82,13493,13420,12845,,,,,AxnBCTZmIUSUNk8S8G7fPg,501,,,,,FACADE CURTAIN WALL 7,LAB FAC. C7,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
83,13494,13420,12845,,,,,qR8mwyzBkkmtSm5ZeLrWsg,601,,,,,FACADE SKYLIGHT GLASS,LAB FAC. CA,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
84,13495,13440,12845,,,,,5S5PIjy59ke9jjxQyl1SOQ,0,,,,,METAL DOORS,QTY DOOR METAL,,1,QT_Hour,0,Y,Y,Y,N,1,1813,RT_Mat,,,,,
85,13496,13444,12845,,,,,f7HMftj9r0+QMtTOpndtBQ,101,,,,,RUBBER FLOOR,QTY FLOOR RUBBER,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
86,13497,13441,12845,,,,,1YMaSlbPC0GmD8s1LaERXw,1,,,,,ASSORTED CEILING FINISH,LAB CEILING AST,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
87,13498,13441,12845,,,,,qfkPf62hpEqb3xaxeIceSQ,0,,,,,CEILING GYPSUM,LAB CEILING GYPSUM,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
88,13499,13441,12845,,,,,0QaW/jNMoUGuKVRlhwxkfA,101,,,,,CEILING GRID FOR GYPSUM,LAB CEILING GRID,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
89,13500,13441,12845,,,,,li+L4qkEA0uKpYtjiDtLvQ,201,,,,,CEILING PAINT,LAB CEILING PAINT,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
90,13501,13420,12845,,,,,sbkXA+Lz7UKoYP6EKg8IpQ,1401,,,,,FACADE METAL PANEL 1,LAB FAC. M1,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
91,13502,13420,12845,,,,,MBk5L0b17Eu6Wbk5XPPjww,1301,,,,,FACADE METAL PANEL 2,LAB FAC. M2,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
92,13503,13451,12845,,,,,kR7hqG3z50qeJgzkriWL5A,1,,,,,ASSORTED DOORS,LAB DOOR AST,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
93,13504,13451,12845,,,,,/1PrmNKfnUiGjXNn+uZfvA,0,,,,,METAL DOORS,LAB DOOR METAL,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
94,13505,13420,12845,,,,,lQ1mVbBrOE+eu5b7jQYPNw,1701,,,,,FACADE NATURAL STONE PANEL,LAB FAC. S2,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
95,13506,13420,12845,,,,,LCgEVsayAEauH38rRHoLGg,1801,,,,,FACADE STEEL GRILL,LAB FAC. SG1,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
96,13507,13420,12845,,,,,YQm78uHlDUGbuMSxuXSMhQ,1901,,,,,FACADE SAND LOUVERS,LAB FAC. SL,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
97,13508,13415,12845,,,,,IXWP1T5ICk2zZ00zEr7+ew,501,,,,,FACADE CURTAIN WALL 7,QTY FAC. C7,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
98,13509,13452,12845,,,,,4P8KW8IaY0eLJCmBzePLxg,1,,,,,ASSORTED FLOOR FINISH,LAB FLOOR AST,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
99,13510,13452,12845,,,,,R3C82gm+fkiRKqENtMJ7Gg,0,,,,,CERAMIC FLOOR TILES,LAB FLOOR CER,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
100,13511,13452,12845,,,,,w745q/WaSk+2GoYKth8wyw,101,,,,,RUBBER FLOOR,LAB FLOOR RUBBER,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
101,13512,13452,12845,,,,,ShZDmlhRoUW9ugWNdK/Jqg,201,,,,,STONE FLOOR,LAB FLOOR STONE,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
102,13513,13452,12845,,,,,BFaS1UiBTUeu7ZGGeR1PpA,301,,,,,TERRAZO FLOOR,LAB FLOOR TERRAZO,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
103,13514,13420,12845,,,,,BWOTm0hc/0ahuTQEssxgmw,701,,,,,FACADE CASCADE WALL,LAB FAC. CW,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
