,curv_id,curv_name,default_flag,pct_usage_0,pct_usage_1,pct_usage_2,pct_usage_3,pct_usage_4,pct_usage_5,pct_usage_6,pct_usage_7,pct_usage_8,pct_usage_9,pct_usage_10,pct_usage_11,pct_usage_12,pct_usage_13,pct_usage_14,pct_usage_15,pct_usage_16,pct_usage_17,pct_usage_18,pct_usage_19,pct_usage_20
0,10,Back Loaded,Y,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
1,11,Bell Shaped,Y,0,0.5,0.5,1.5,1.5,4,4,7.5,7.5,11.5,11.5,11.5,11.5,7.5,7.5,4,4,1.5,1.5,0.5,0.5
2,12,Front Loaded,Y,0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
3,13,Linear,Y,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,19,Triangular Increase,Y,0,1,1,1.5,1.5,3,3,3.5,3.5,4.5,4.5,5.5,5.5,6.5,6.5,7,7,8.5,8.5,9,9
5,5061,PCO119,N,0,0,0,0,0,0.1,0.5,1.4,3,5,7,10,10,12,13,13,10,7,5,2,1
