,unit_id,seq_num,unit_abbrev,unit_name
0,413,0,m3,Cubic meter
1,414,100,m2,Square meter
2,1018,0,m,m
3,1813,301,no,number
4,2066,0,T(Fe),Tonnes of Steel
5,2068,17860,AED,dhs (in millions)
