,clndr_id,default_flag,clndr_name,proj_id,base_clndr_id,last_chng_date,clndr_type,day_hr_cnt,week_hr_cnt,month_hr_cnt,year_hr_cnt,rsrc_private,clndr_data
0,12844,N,"R00-C02, Calendar day",,,2010-07-17 00:00,CA_Base,8,40,172,2000,N,(0||CalendarData()(  (0||DaysOfWeek()(    (0||1()(      (0||0(s|08:00|f|13:00)())      (0||1(s|14:00|f|17:00)())))    (0||2()(      (0||0(s|08:00|f|13:00)())      (0||1(s|14:00|f|17:00)())))    (0||3()(      (0||0(s|08:00|f|13:00)())      (0||1(s|14:00|f|17:00)())))    (0||4()(      (0||0(s|08:00|f|13:00)())      (0||1(s|14:00|f|17:00)())))    (0||5()(      (0||0(s|08:00|f|13:00)())      (0||1(s|14:00|f|17:00)())))    (0||6()(      (0||0(s|08:00|f|13:00)())      (0||1(s|14:00|f|17:00)())))    (0||7()(      (0||0(s|08:00|f|13:00)())      (0||1(s|14:00|f|17:00)())))))  (0||VIEW(ShowTotal|Y)())  (0||Exceptions()())))
1,12845,N,"R00-C01, 6 days with holidays",,,2011-02-05 00:00,CA_Base,8,40,172,2000,N,(0||CalendarData()(  (0||DaysOfWeek()(    (0||1()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||2()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||3()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||4()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||5()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||6()())    (0||7()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))))  (0||VIEW(ShowTotal|Y)())  (0||Exceptions()(    (0||0(d|40367)())    (0||1(d|40432)())    (0||2(d|40497)())    (0||3(d|40498)())    (0||4(d|40499)())    (0||5(d|40519)())    (0||6(d|40544)())    (0||7(d|40589)(      (0||0(s|08:00|f|16:00)())))    (0||8(d|40722)())    (0||9(d|40785)())    (0||10(d|40786)())    (0||11(d|40853)())    (0||12(d|40854)())    (0||13(d|40855)())    (0||14(d|40873)())    (0||15(d|40880)())    (0||16(d|40909)())    (0||17(d|40943)())    (0||18(d|41076)())    (0||19(d|41140)())    (0||20(d|41141)())    (0||21(d|41209)())    (0||22(d|41210)())    (0||23(d|41228)())    (0||24(d|41246)())    (0||25(d|41275)())    (0||26(d|41298)())    (0||27(d|41431)())    (0||28(d|41494)())    (0||29(d|41562)())    (0||30(d|41563)())    (0||31(d|41564)())    (0||32(d|41582)())    (0||33(d|41611)())    (0||34(d|41640)())    (0||35(d|41652)())    (0||36(d|41784)())    (0||37(d|41848)())    (0||38(d|41849)())    (0||39(d|41916)())    (0||40(d|41917)())    (0||41(d|41918)())    (0||42(d|41937)())    (0||43(d|41976)())    (0||44(d|42005)())    (0||45(d|42007)())    (0||46(d|42203)())    (0||47(d|42270)())    (0||48(d|42271)())    (0||49(d|42291)())    (0||50(d|42341)())    (0||51(d|42494)())    (0||52(d|42556)())    (0||53(d|42557)())    (0||54(d|42624)())    (0||55(d|42625)())    (0||56(d|42626)())    (0||57(d|42645)())    (0||58(d|42707)())    (0||59(d|42730)())))))
