,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
547,41176,8788,540,1,N,N,WS_Open,02,"Neuro Or , Pat Hold , Prep/Recv",,40747,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,5xad3Ah+f0ubsjgLFLWyww,,
548,41177,8788,540,4,N,N,WS_Open,04,Public Area ( Elev.Lobby & Corridors ),,40746,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,UbEZ1uR/a0+fPmB7TIgSiA,HOoig/M9aU2jmgxChHXPbQ,
549,41178,8788,540,0,N,N,WS_Open,1,Patient Tower Building Summary,,40759,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rjRpqK9dSUW49/50+j+kgQ,a3eVQZeNjE2cXo1M07Ib/g,
550,41179,8788,540,1,N,N,WS_Open,02,PAT RM-1,,40750,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,2mbgiLGdU0yt8r8Sii7sJw,8jiIZW8/REC7Xj7C/kDBuw,
551,41180,8788,540,3,N,N,WS_Open,03,PAT RM-2,,40746,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,fe7uOphauE6Kn37c0M8slg,,
552,41181,8788,540,303,N,N,WS_Open,SA,Zone SA,,40743,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,//QnJYN3402yYTk5pYlqqA,,
553,41182,8788,540,4,N,N,WS_Open,S3,Zone S3,,40725,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RSCBrslsP0aMcFuvvLeg8w,gZ8xZciUkEyGYK6nNsiqCw,
554,41183,8788,540,301,N,N,WS_Open,04,Public Area ( Elev.Lobby & Corridors ),,40826,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,26TVJM/ZMEW/apnWrIbGaA,HOoig/M9aU2jmgxChHXPbQ,
555,41184,8788,540,203,N,N,WS_Open,S3,Zone S3,,40743,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,sSsZEYDHREO8Yh4cklsdZg,,
556,41185,8788,540,0,N,N,WS_Open,1,Gallery Building Summary,,40766,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,et2N1IokMEyK1MEjx/Qzxw,a3eVQZeNjE2cXo1M07Ib/g,
557,41186,8788,540,0,N,N,WS_Open,1,Lighting Rationalisation,,40668,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,KXyPbr5AAU25X6e9dSuqRw,oxj7JYBMVUyObJfEIXFKiQ,
558,41187,8788,540,1,N,N,WS_Open,ME,MEP,,40651,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,bxhd9ZeW6UqVak7jZwi5CQ,,
559,41188,8788,540,1,N,N,WS_Open,02,TR Room,,40820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Wz7wP3NHTUu03+bjJSbX8A,tiQbrg2h/EGhuaOF3wj1qQ,
560,41189,8788,540,2,N,N,WS_Open,03,Public Area ( Elev.Lobby & Corridors ),,40820,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8Ww/euVzLUy1o2tj6s93/g,,
561,41190,8788,540,800,N,N,WS_Open,EL26,Lift (#26~27),,40693,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,oauzsp5s1UaU8oy/FbaNuw,,
562,41191,8788,540,203,N,N,WS_Open,05,TR Room,,40778,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,vpLpEbmXEEW0cjIq3uzd7w,tiQbrg2h/EGhuaOF3wj1qQ,
563,41192,8788,540,1,N,N,WS_Open,02,PAT RM-1,,40790,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Z+HGcwuqBkmRGkOgPZqyog,8jiIZW8/REC7Xj7C/kDBuw,
564,41193,8788,540,2,N,N,WS_Open,03,"Auditorium, Ballroom , TLT, Staging KIT",,40791,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,nA67YNxPeUSW59/41r/44Q,,
565,41194,8788,540,111,N,N,WS_Open,03,Mech -2,,40810,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,+sLvBLHkEkWQzlZcoUhNfw,,
566,41195,8788,540,105,N,N,WS_Open,04,"Fitness, LKR & TLT",,40791,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,jSFZduFqlkaZiPmxDIk92g,,
