,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr
0,15603,,,11,765,109723, ,,,0,0,0,0,CL_End,N,0,,
1,15604,,,11,765,109825, ,,,0,0,0,0,CL_End,N,0,,
2,15605,,,11,765,109927, ,,,0,0,0,0,CL_End,N,0,,
3,15606,,,11,765,110029, ,,,0,0,0,0,CL_End,N,0,,
4,15607,,,11,765,110131, ,,,0,0,0,0,CL_End,N,0,,
5,15608,,,11,765,110233, ,,,0,0,0,0,CL_End,N,0,,
6,15609,,,11,765,110335, ,,,0,0,0,0,CL_End,N,0,,
7,15610,,,11,765,110437, ,,,0,0,0,0,CL_End,N,0,,
8,15611,,,11,765,110539, ,,,0,0,0,0,CL_End,N,0,,
9,15612,,,11,765,110641, ,,,0,0,0,0,CL_End,N,0,,
10,15613,,,11,765,110743, ,,,0,0,0,0,CL_End,N,0,,
11,15614,,,11,765,110845, ,,,0,0,0,0,CL_End,N,0,,
12,15615,,,11,765,110947, ,,,0,0,0,0,CL_End,N,0,,
13,15616,,,11,765,111049, ,,,0,0,0,0,CL_End,N,0,,
14,15617,,,11,765,111151, ,,,0,0,0,0,CL_End,N,0,,
15,15618,,,11,765,111253, ,,,0,0,0,0,CL_End,N,0,,
16,15619,,,11,765,111355, ,,,0,0,0,0,CL_End,N,0,,
17,15620,,,11,765,111457, ,,,0,0,0,0,CL_End,N,0,,
18,15621,,,11,765,111559, ,,,0,0,0,0,CL_End,N,0,,
19,15622,,,11,765,111661, ,,,0,0,0,0,CL_End,N,0,,
20,15623,,,11,765,111763, ,,,0,0,0,0,CL_End,N,0,,
