,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,128,55104,428,,,1004,
1,128,55105,428,,,6022,
2,128,55106,428,,,4014,
3,128,55107,428,,,1004,
4,128,55108,428,,,2007,
5,128,55109,428,,,4014,
6,128,55110,428,,,2007,
7,128,55111,428,,,4891,
8,128,55112,428,,,11202,
9,128,55113,428,,,17585,
10,128,55114,428,,,4397,
11,128,55115,428,,,6532,
12,128,55116,428,,,14861,
13,128,55117,428,,,3715,
14,128,55118,428,,,2007,
15,128,55119,428,,,6022,
16,128,55120,428,,,1004,
17,128,55121,428,,,4014,
18,128,55122,428,,,2007,
19,128,55123,428,,,1004,
20,128,55124,428,,,4014,
21,128,55125,428,,,6532,
22,128,55126,428,,,14861,
23,128,55127,428,,,3715,
24,128,55128,428,,,4891,
25,128,55129,428,,,17585,
26,128,55130,428,,,4397,
27,128,55131,428,,,11202,
28,128,55132,428,,,4891,
29,128,55133,428,,,6532,
30,128,55134,428,,,17585,
31,128,55135,428,,,4397,
32,128,55136,428,,,14861,
33,128,55137,428,,,3715,
34,128,55138,428,,,11202,
35,128,55139,428,,,4014,
36,128,55140,428,,,4014,
37,128,55141,428,,,2007,
38,128,55142,428,,,6022,
39,128,55143,428,,,2007,
40,128,55144,428,,,1004,
41,128,55145,428,,,1004,
42,128,55146,428,,,17585,
43,128,55147,428,,,4397,
44,128,55148,428,,,6532,
45,128,55149,428,,,11202,
46,128,55150,428,,,4891,
47,128,55151,428,,,14861,
48,128,55152,428,,,3715,
49,128,55153,428,,,4014,
50,128,55154,428,,,2007,
51,128,55155,428,,,6022,
52,128,55156,428,,,1004,
53,128,55157,428,,,1004,
54,128,55158,428,,,4014,
55,128,55159,428,,,2007,
56,128,55160,428,,,165691,
57,128,55161,428,,,0,
58,128,55162,428,,,0,
59,128,55163,428,,,0,
60,128,55164,428,,,0,
61,128,55165,428,,,0,
62,128,55166,428,,,0,
63,128,55167,428,,,0,
64,128,55168,428,,,0,
65,128,55169,428,,,0,
66,128,55170,428,,,0,
67,128,55171,428,,,0,
68,128,55172,428,,,0,
69,128,55173,428,,,0,
70,128,55174,428,,,0,
71,128,55175,428,,,0,
72,128,55176,428,,,0,
73,128,55177,428,,,0,
74,128,55178,428,,,0,
75,128,55179,428,,,0,
76,128,55180,428,,,0,
77,128,55181,428,,,0,
78,128,55182,428,,,21232,
79,128,55183,428,,,12739,
80,128,55184,428,,,8493,
81,128,55185,428,,,21232,
82,128,55186,428,,,0,
83,128,55187,428,,,0,
84,128,55188,428,,,21232,
85,128,55189,428,,,12739,
86,128,55190,428,,,8493,
87,128,55191,428,,,21232,
88,128,55192,428,,,0,
89,128,55193,428,,,0,
90,128,55194,428,,,0,
91,128,55195,428,,,0,
92,128,55196,428,,,0,
93,128,55197,428,,,0,
94,128,55198,428,,,0,
95,128,55199,428,,,0,
96,128,55200,428,,,0,
97,128,55201,428,,,0,
98,128,55202,428,,,0,
99,128,55203,428,,,0,
100,128,55204,428,,,0,
101,128,55205,428,,,0,
102,128,55206,428,,,0,
103,128,55207,428,,,0,
104,128,55208,428,,,0,
105,128,55209,428,,,0,
106,128,55210,428,,,0,
107,128,55211,428,,,0,
108,128,55212,428,,,0,
109,128,55213,428,,,0,
110,128,55214,428,,,0,
111,128,55215,428,,,0,
112,128,55216,428,,,0,
113,128,55217,428,,,0,
114,128,55218,428,,,0,
115,128,55219,428,,,0,
116,128,55220,428,,,0,
117,128,55221,428,,,0,
118,128,55222,428,,,0,
119,128,55223,428,,,0,
120,128,55224,428,,,0,
121,128,55225,428,,,0,
122,128,55226,428,,,0,
123,128,55227,428,,,0,
124,128,55228,428,,,0,
125,128,55229,428,,,0,
126,128,55230,428,,,0,
127,128,55231,428,,,0,
128,128,55232,428,,,0,
129,128,55233,428,,,0,
130,128,55234,428,,,0,
131,128,55235,428,,,0,
132,128,55236,428,,,0,
133,128,55237,428,,,0,
134,128,55238,428,,,0,
135,128,55239,428,,,0,
136,128,55240,428,,,0,
137,128,55241,428,,,0,
138,128,55242,428,,,0,
139,128,55243,428,,,0,
140,128,55244,428,,,0,
141,128,55245,428,,,0,
142,128,55246,428,,,0,
143,128,55247,428,,,0,
144,128,55248,428,,,0,
145,128,55249,428,,,0,
146,128,55250,428,,,0,
147,128,55251,428,,,0,
148,128,55252,428,,,0,
149,128,55253,428,,,0,
150,128,55254,428,,,0,
151,128,55255,428,,,0,
152,128,55256,428,,,0,
153,128,55257,428,,,0,
154,128,55258,428,,,0,
155,128,55259,428,,,0,
156,128,55260,428,,,0,
157,128,55261,428,,,0,
158,128,55262,428,,,0,
159,128,55263,428,,,0,
160,128,55264,428,,,0,
161,128,55265,428,,,0,
162,128,55266,428,,,0,
163,128,55267,428,,,0,
164,128,55268,428,,,0,
165,128,55269,428,,,0,
166,128,55270,428,,,0,
167,128,55271,428,,,0,
168,128,55272,428,,,0,
169,128,55273,428,,,0,
170,128,55274,428,,,0,
171,128,55275,428,,,0,
172,128,55276,428,,,0,
173,128,55277,428,,,0,
174,128,55278,428,,,0,
175,128,55279,428,,,0,
176,128,55280,428,,,0,
177,128,55281,428,,,0,
178,128,55282,428,,,0,
179,128,55283,428,,,0,
180,128,55284,428,,,0,
181,128,55285,428,,,0,
182,128,55286,428,,,0,
183,128,55287,428,,,0,
184,128,55288,428,,,0,
185,128,55289,428,,,0,
186,128,55290,428,,,0,
187,128,55291,428,,,0,
188,128,55292,428,,,0,
189,128,55293,428,,,0,
190,128,55294,428,,,0,
191,128,55295,428,,,0,
192,128,55296,428,,,0,
193,128,55297,428,,,0,
194,128,55298,428,,,0,
195,128,55299,428,,,0,
196,128,55300,428,,,0,
197,128,55301,428,,,0,
198,128,55302,428,,,0,
199,128,55303,428,,,0,
200,128,55304,428,,,0,
201,128,55305,428,,,0,
202,128,55306,428,,,0,
203,128,55307,428,,,0,
204,128,55308,428,,,0,
205,128,55309,428,,,0,
206,128,55310,428,,,0,
207,128,55311,428,,,0,
208,128,55312,428,,,0,
209,128,55313,428,,,0,
210,128,55314,428,,,0,
211,128,55315,428,,,0,
212,128,55316,428,,,0,
213,128,55317,428,,,0,
214,128,55318,428,,,0,
215,128,55319,428,,,0,
216,128,55320,428,,,0,
217,128,55321,428,,,0,
218,128,55322,428,,,0,
219,128,55323,428,,,0,
220,128,55324,428,,,0,
221,128,55325,428,,,0,
222,128,55326,428,,,0,
223,128,55327,428,,,0,
224,128,55328,428,,,0,
225,128,55329,428,,,0,
226,128,55330,428,,,0,
227,128,55331,428,,,0,
228,128,55332,428,,,0,
229,128,55333,428,,,0,
230,128,55334,428,,,0,
231,128,55335,428,,,0,
232,128,55336,428,,,0,
233,128,55337,428,,,0,
234,128,55338,428,,,0,
235,128,55339,428,,,0,
236,128,55340,428,,,0,
237,128,55341,428,,,0,
238,128,55342,428,,,0,
239,128,55343,428,,,0,
240,128,55344,428,,,0,
241,128,55345,428,,,0,
242,128,55346,428,,,0,
243,128,55347,428,,,0,
244,128,55348,428,,,0,
245,128,55349,428,,,0,
246,128,55350,428,,,0,
247,128,55351,428,,,0,
248,128,55352,428,,,0,
249,128,55353,428,,,0,
250,128,55354,428,,,0,
251,128,55355,428,,,0,
252,128,55356,428,,,0,
253,128,55357,428,,,0,
254,128,55358,428,,,0,
255,128,55359,428,,,0,
256,128,55360,428,,,0,
257,128,55361,428,,,0,
258,128,55362,428,,,0,
259,128,55363,428,,,0,
260,128,55364,428,,,0,
261,128,55365,428,,,0,
262,128,55366,428,,,0,
263,128,55367,428,,,0,
264,128,55368,428,,,0,
265,128,55369,428,,,0,
266,128,55370,428,,,0,
